company,domain,hubspot_company_id,in_hubspot,composite,tier,sites,city_state,nearest_primo,domain_source
Kuehne + Nagel,us.kuehne-nagel.com,8982375818,yes,99.82,A,3,"Ontario, CA",US PL Ontario Factory,package
FedEx Freight,fedex.com,8981900401,yes,99.09,A,62,"Zephyrhills, FL",US PL Zephyrhills Factory,package
PepsiCo Mt. Creek,pepsico.com,,no,98.73,A,1,"Dallas, TX",US PL Dallas 2 Factory,curated:
DHL,dhl.com,8974643893,yes,98.55,A,1,"Mertztown, PA",US PL Allentown NPL Factory,package
U.S. Meat Export Federation (USMEF),usmef.org,,no,98.07,A,1,"Denver, CO",US PL Denver Factory,package
Western Export Services Inc,wesdenver.com,,no,97.89,A,2,"Denver, CO",US PL Denver Factory,package
"J.B. Hunt Transport Services, Inc.",jbhunt.com,,no,97.84,A,8,"Breinigsville, PA",US DC NFI - Breinigsville,curated:
Ryder Logistics,ryder.com,55553605396,yes,97.67,A,4,"Alburtis, PA",US PL Allentown NPL Factory,package
Penske Work,penske.com,,no,97.67,A,1,"Alburtis, PA",US PL Allentown NPL Factory,curated:
FEDEX GROUND,fedex.com,8981900401,yes,97.67,A,10,"Sacramento, CA",US PL Sacramento Factory,package
The Home Depot Pro Institutional,homedepot.com,45064080037,yes,97.45,A,1,"Sacramento, CA",US PL Sacramento Factory,package
Flexport Denver,flexport.com,,no,97.35,A,1,"Denver, CO",US PL Denver Factory,curated:
Cardinal Health at Home Distribution Center,cardinalhealth.com,,no,97.32,A,1,"Ontario, CA",US PL Ontario Factory,parent_facility:medium
Target Grocery,target.com,44998571902,yes,97.27,A,1,"Denver, CO",US PL Denver Factory,package
Coca-Cola Southwest Beverages,coca-colacompany.com,54707346442,yes,97.14,A,9,"Houston, TX 77054, USA",US PL S Houston Factory,package
Nestle Water,nestleusa.com,,no,96.97,A,4,"Poland, ME",US PL Poland Spring Factory,package
Walmart Business Center,walmart.com,8536615003,yes,96.91,A,1,"Hot Springs Village, AR",US PL Hot Springs Factory,package
Fastenal Fulfillment Center,fastenal.com,,no,96.82,A,83,"Greenwood, IN",US PL Greenwood Indiana,curated:
GEODIS,geodis.com,55554514707,yes,96.62,A,7,"Breinigsville, PA",US DC NFI - Breinigsville,package
Saddle Creek Logistics Services,sclogistics.com,8982330906,yes,96.47,A,7,"Ontario, CA",US PL Ontario Factory,package
Coca-Cola,coca-colacompany.com,55554507561,yes,96.45,A,17,"Breinigsville, PA",US DC NFI - Breinigsville,package
Frito-Lay Inc,fritolay.com,54772621360,yes,95.94,A,5,"Dallas, TX",US PL Dallas 2 Factory,package
The Home Depot Distribution Center,homedepot.com,45064080037,yes,95.84,A,29,"Breinigsville, PA",US DC NFI - Breinigsville,package
"Blue Eagle Logistics, Inc.",blueeaglelogistics.com,55542057493,yes,95.77,A,1,"Breinigsville, PA",US DC NFI - Breinigsville,package
Pepsi Co Inc,pepsi.com,8536611588,yes,95.77,A,27,"Sacramento, CA",US PL Sacramento Factory,package
Scott's Auto Carrier Denver,,,no,95.67,A,1,"Denver, CO",US PL Denver Factory,
Pepsi off site,pepsico.com,,no,95.6,A,1,"Sacramento, CA",US PL Sacramento Factory,curated:
Bimbo Bakeries USA,bimbobakeriesusa.com,54771833773,yes,95.6,A,2,"Sacramento, CA",US PL Sacramento Factory,package
Sysco To Go- Houston Medical Centre,sysco.com,,no,95.6,A,1,"Houston, TX",US PL S Houston Factory,curated:
Grainger Industrial Supply,grainger.com,,no,95.6,A,1,"Madison, WI",US PL Madison Factory,curated:
Amazon ABE3 Fulfillment Center,amazon.com,8981959027,yes,95.49,A,1,"Breinigsville, PA",US DC NFI - Breinigsville,package
DSC,cjlogisticsamerica.com,54415134541,yes,95.43,A,8,"Breinigsville, PA",US PL Allentown Factory,package
Target warehouse,target.com,44998571902,yes,95.43,A,19,"Breinigsville, PA",US PL Allentown Factory,package
Swire Coca-Cola USA,coca-colacompany.com,,no,95.43,A,3,"Denver, CO",US PL Denver Factory,package
Pepsi Cola,pepsico.com,,no,95.43,A,6,"Denver, CO",US PL Denver Factory,curated:
KeHE Distributors-LHV,kehe.com,,no,95.27,A,1,"Breinigsville, PA",US DC NFI - Breinigsville,curated:
BlueTriton Brands,bluetriton.com,45140914616,yes,95.27,A,6,"Breinigsville, PA",US DC NFI - Breinigsville,package
Swire Coca-Cola Driver Entrance,coca-colacompany.com,,no,95.27,A,1,"Denver, CO",US PL Denver Factory,package
Caterpillar Inc,caterpillar.com,54774295842,yes,95.14,A,1,"Ontario, CA",US PL Ontario Factory,package
FedEx Supply Chain,fedex.com,8981900401,yes,95.1,A,1,"Greenwood, IN",US PL Greenwood Indiana,package
Nestle,nestleusa.com,,no,95.1,A,2,"Breinigsville, PA",US DC NFI - Breinigsville,package
Nestle Waters,nestleusa.com,,no,95.1,A,3,"Greenwood, IN",US PL Greenwood Indiana,package
Lineage,lineagelogistics.com,8982323820,yes,95.08,A,39,"McFarland, WI",US PL Madison Factory,package
Hea2 Amazon,amazon.com,8981959027,yes,94.97,A,1,"Breinigsville, PA",US DC NFI - Breinigsville,package
Coca-Cola Lehigh Valley Syrup,coca-colacompany.com,,no,94.93,A,1,"Allentown, PA",US DC NFI - Breinigsville,package
FedEx ShipSite,fedex.com,8981900401,yes,94.93,A,1,"Hot Springs, AR",US DC Hot Springs (WHSE),package
Old Dominion Freight Line,odfl.com,45134543918,yes,94.91,A,46,"Dallas, TX",US PL Dallas 2 Factory,package
Amazon fulfillment ABE2,amazon.com,8981959027,yes,94.8,A,1,"Breinigsville, PA",US DC NFI - Breinigsville,package
Niagara,niagarawater.com,54697231119,yes,94.65,A,30,"Ontario, CA",US PL Ontario Factory,package
ABF Freight,abf.com,,no,94.52,A,31,"Madison, WI",US PL Madison Factory,company_exact:high
US Foods CHEF'STORE,usfoods.com,,no,94.44,A,1,"Sacramento, CA",US PL Sacramento Factory,curated:
Culinaire Foods,culinairefoods.com,,no,94.4,A,1,"Denver, CO",US PL Denver Factory,package
Costco Distribution Depot,costco.com,55554508096,yes,94.37,A,4,"Dallas, TX",US PL Dallas 2 Factory,package
Dollar General,dollargeneral.com,45009260117,yes,94.37,A,10,"High Springs, FL",US PL High Springs Factory,package
Cummins Regional Distribution Center - Dallas,cummins.com,,no,94.28,A,1,"Dallas, TX",US PL Dallas 2 Factory,curated:
Aldi Distribution Center,aldi.us,9392442259,yes,94.2,A,5,"Greenwood, IN",US PL Greenwood Indiana,package
Coca-Cola Co Ontario Syrup,coca-colacompany.com,,no,94.11,A,1,"Ontario, CA",US PL Ontario Factory,package
Newell Logistics,,,no,93.94,A,1,"Zephyrhills, FL",US PL Zephyrhills Factory,
Reyes Coca-Cola Bottling,coca-colacompany.com,54772651294,yes,93.78,A,9,"Rancho Cucamonga, CA",US PL Ontario Factory,package
