prospect_name,domain,composite,tier,confidence,segment,sites,city_state,nearest_primo_site,nearest_mi,already_in_hubspot,notes
U.S. Meat Export Federation (USMEF),,98.07,A,medium,shipper,1,"Denver, CO",US PL Denver Factory,0.4,,
Western Export Services Inc,,97.89,A,medium,shipper,1,"Denver, CO",US PL Denver Factory,0.5,,
Ryder Logistics,,97.67,A,high,carrier,4,"Alburtis, PA",US PL Allentown NPL Factory,1.3,,
Nestle Water North America,,96.97,A,medium,shipper,4,"Poland, ME",US PL Poland Spring Factory,1.7,,
"Swire Coca-Cola, USA Production Plant",,95.43,A,high,shipper,3,"Denver, CO",US PL Denver Factory,2.6,,
Swire Coca-Cola Driver Entrance,,95.27,A,medium,shipper,1,"Denver, CO",US PL Denver Factory,2.7,,
Nestle Distribution Center (Truck Entrance),,95.1,A,high,shipper,2,"Breinigsville, PA",US DC NFI - Breinigsville,2.8,,
Nestle Waters North America,,95.1,A,medium,shipper,3,"Greenwood, IN",US PL Greenwood Indiana,2.8,,
Old Dominion Freight Line,,94.91,A,medium,carrier,46,"Dallas, TX",US PL Dallas 2 Factory,2.2,,
Culinaire Foods,,94.4,A,medium,shipper,1,"Denver, CO",US PL Denver Factory,2.5,,
Newell Logistics,,93.94,A,high,3pl,1,"Zephyrhills, FL",US PL Zephyrhills Factory,1.6,,
Procter & Gamble Co,,93.49,A,medium,shipper,1,"Sacramento, CA",US PL Sacramento Factory,1.4,,
P&G Chemicals,,93.49,A,medium,shipper,1,"Sacramento, CA",US PL Sacramento Factory,1.4,,
BASF Corporation,,93.14,A,medium,shipper,2,"Houston, TX",US PL S Houston Factory,1.6,,
Greenfield Manufacturing Inc.,,92.63,A,high,shipper,2,"Saratoga Springs, NY",US PL Saratoga Spring Factory,2.6,,
LPM manufacturing,,92.62,A,high,shipper,1,"Ontario, CA",US PL Ontario Factory,1.9,,
Earnest Machine,,92.27,A,medium,shipper,1,"Greenwood, IN",US PL Greenwood Indiana,3.3,,
DHL Warehouse Verizon,,92.02,A,high,shipper,1,"Whiteland, IN",US PL Greenwood Indiana,4.7,,
Shamrock Foodservice Warehouse Denver,,90.91,A,high,shipper,1,"Denver, CO",US PL Denver Factory,2.2,,
Wakefern Foods,,90.8,A,medium,shipper,1,"Breinigsville, PA",US DC NFI - Breinigsville,1.8,,
Procter & Gamble Tambrands,,90.11,A,medium,shipper,1,"Auburn, ME",US PL Poland Spring Factory,3.4,,
Holiday Homes Transporting Llc,,89.22,A,medium,shipper,1,"Ballston Spa, NY",US PL Saratoga Spring Factory,4.7,,
DSV Silutions Shell warehouse Panalpina,,88.85,A,high,3pl,1,"Pasadena, TX",US PL Pasadena Factory,6.8,,
Infinix 12,,88.52,A,medium,shipper,1,"Hawkins, TX 75765, USA",US PL Hawkins Factory,1.5,,
Twin Leaf Farms,,87.99,A,medium,shipper,1,"Greenfield Center, NY",US PL Saratoga Spring Factory,5.5,,
UTZ Quality Foods Inc,,87.8,A,medium,shipper,1,"Allentown, PA",US DC NFI - Breinigsville,3.1,,
MHC Kenworth - Denver,,85.4,A,medium,shipper,1,"Denver, CO",US PL Denver Factory,5.1,,
Procter & Gamble Offsite Warehouse,,84.85,A,high,shipper,1,"Dallas, TX",US PL Dallas 2 Factory,6.8,,
Landmark Express,,84.71,A,medium,shipper,1,"Grand Prairie, TX",US PL Dallas 2 Factory,8.3,,
BASF Palmer Logistics,,84.7,A,high,3pl,1,"Pasadena, TX",US PL Pasadena Factory,6.9,,
Onvo,,84.6,A,medium,shipper,3,"Kutztown, PA",US PL Allentown Factory,5.1,,
CORNERSTONE ORGANIC FEED LLC,,83.68,A,medium,shipper,1,"Kutztown, PA",US PL Allentown Factory,5.7,,
Three Story Coca Cola Cup,,82.86,A,medium,shipper,1,"Sacramento, CA",US PL Sacramento Factory,11.2,,
"ContiTech USA, Inc Warehouse",,82.54,A,high,shipper,1,"Sun Prairie, WI",US PL Madison Factory,9.3,,
"The Storage Guy, LLC - Schneider Storage",,82.43,A,medium,carrier,3,"Middleton, WI",US PL Madison Factory,10.6,,
NFI Warehouse 1901 Danieldale,,82.14,A,high,3pl,1,"Lancaster, TX",US PL Dallas 2 Factory,9.6,,
