name,domain,composite,tier,city_state,nearest_primo_site,nearest_mi
U.S. Meat Export Federation (USMEF),usmef.org,98.07,A,"Denver, CO",US PL Denver Factory,0.4
Western Export Services Inc,wesdenver.com,97.89,A,"Denver, CO",US PL Denver Factory,0.5
"Swire Coca-Cola, USA Production Plant",swirecocacola.com,95.43,A,"Denver, CO",US PL Denver Factory,2.6
Culinaire Foods,culinairefoods.com,94.4,A,"Denver, CO",US PL Denver Factory,2.5
Earnest Machine,earnestmachine.com,92.27,A,"Greenwood, IN",US PL Greenwood Indiana,3.3
BASF Palmer Logistics,palmerlogistics.com,84.7,A,"Pasadena, TX",US PL Pasadena Factory,6.9
"ContiTech USA, Inc Warehouse",contitech.com,82.54,A,"Sun Prairie, WI",US PL Madison Factory,9.3
Fort Worth Distribution Center for tractor supply,tractorsupply.com,79.47,A,"Grand Prairie, TX",US PL Dallas 2 Factory,9.2
"WorldWide Electric, Ontario CA Warehouse",worldwideelectric.net,79.09,B,"Ontario, CA",US PL Ontario Factory,0.5
Wisconsin Kenworth - Madison,wisconsinkenworth.com,78.41,A,"Windsor, WI",US PL Madison Factory,10
Houston Methodist Distribution Center,houstonmethodist.org,77.84,B,"Houston, TX",US PL S Houston Factory,1.2
Volk Packaging Corporation,volkpackaging.com,77.04,A,"Biddeford, ME",US PL Hollis Factory,11.7
"Orca Logistics, Llc",orcalogisticsllc.com,76.97,B,"Denver, CO",US PL Denver Factory,1.7
Aker BioMarine Manufacturing,akerbiomarine.com,76.81,A,"Houston, TX",US PL S Houston Factory,14.6
Cardenas Market Distribution Center,cardenasmarkets.com,76.28,B,"Ontario, CA",US PL Ontario Factory,2.1
Final Mile Cold Storage,movingme.com,76.28,B,"Ontario, CA",US PL Ontario Factory,2.1
Corrugated Concepts & Packaging,corrcon.com,76.25,A,"Houston, TX",US PL S Houston Factory,15.1
Double A Logistics,doublealogistics.com,76.19,A,"Citrus Heights, CA",US PL Sacramento Factory,13.4
BDA Midwest Fulfillment Center,bdainc.com,76.12,A,"Plainfield, IN",US PL Greenwood Indiana,14.5
Nexen Tire Distribution Center,nexentire.com,75.94,B,"Ontario, CA",US PL Ontario Factory,2.3
Hanzo Logistics,hanzologistics.com,75.89,A,"Plainfield, IN",US PL Greenwood Indiana,14.7
