distance_mi,tier,icp_score,existing,company,address
1.0,B,50,no,"Congdon Hill Warehouse/Samuel Adam's","8801 Congdon Hill Dr, Alburtis, PA 18011, USA"
1.1,A,100,yes,"DHL","8801 Congdon Hill Dr, Mertztown, PA 19539, USA"
1.2,B,50,no,"East Penn Manufacturing Alburtis Warehouse","8742 Congdon Hill Dr, Mertztown, PA 19539, USA"
1.3,A,95,yes,"The Home Depot Distribution Center","8500 Willard Dr, Breinigsville, PA 18031, USA"
1.3,A,100,no,"J.B. Hunt Transport Services, Inc.","8500 Willard Dr, Breinigsville, PA 18031, USA"
1.5,A,100,yes,"FEDEX GROUND","8451 Willard Dr, Breinigsville, PA 18031, USA"
1.5,A,100,no,"Ryder Logistics","8620 Congdon Hill Dr, Alburtis, PA 18011, USA"
1.5,A,100,no,"Kuehne + Nagel","8620 Congdon Hill Dr, Alburtis, PA 18011, USA"
1.5,B,50,no,"SUNOPTA FOODS","8615 Congdon Hill Dr, Alburtis, PA 18011, USA"
1.6,A,95,yes,"Amazon ABE3 Fulfillment Center","650 Boulder Dr, Breinigsville, PA 18031, USA"
1.6,A,100,no,"Penske Work","8783 Congdon Hill Dr, Alburtis, PA 18011, USA"
1.7,A,95,yes,"Amazon ABE3 Truck Entrance, Bobtail Parking, guard shack","650 Boulder Dr, Breinigsville, PA 18031, USA"
1.8,A,85,no,"Wakefern Food Truck Gate","8301-8399 Industrial Blvd, Breinigsville, PA 18031, USA"
1.8,A,77,no,"Uline Shipping Supplies - X1","8449 Congdon Hill Dr, Alburtis, PA 18011, USA"
1.8,A,95,yes,"Hea2 Amazon","650 Boulder Dr, Breinigsville, PA 18031, USA"
1.9,A,85,no,"Wakefern Foods","8301 Industrial Blvd, Breinigsville, PA 18031, USA"
1.9,A,95,yes,"Amazon fulfillment ABE2","Amazon, 705 Boulder Dr, Breinigsville, PA 18031, USA"
2.0,A,100,no,"Geodis Logistics","651 Boulder Dr #100, Breinigsville, PA 18031, USA"
2.0,A,95,yes,"Amazon","Amazon.com, 705 Boulder Dr, Breinigsville, PA 18031, USA"
2.1,A,90,yes,"Coca-Cola","400 Boulder Dr, Breinigsville, PA 18031, USA"
2.1,A,92,no,"Bridgestone Americas Distribution Center","8001 Industrial Blvd, Allentown, PA 18106, USA"
2.3,A,77,no,"Packaging Corporation of America","7451 Cetronia Rd, Allentown, PA 18106, USA"
2.3,B,50,no,"BMS Logistics, Inc","8018 Quarry Rd, Alburtis, PA 18011, USA"
2.4,A,93,no,"NFI DC","200 Nestle Way, Breinigsville, PA 18031, USA"
2.4,A,100,no,"Blue Eagle Logistics, Inc.","155 Nestle Way, Breinigsville, PA 18031, USA"
2.5,B,50,no,"Jacobson Warehouse Co","7570 Industrial Park Way, Macungie, PA 18062, USA"
2.5,B,50,no,"Silgan Warehouse","2834 Schoeneck Rd, Macungie, PA 18062, USA"
2.6,A,95,no,"Crete Carrier Corporation","2619 Schoeneck Rd, Macungie, PA 18062, USA"
2.6,A,100,yes,"Target Distribution","910 Nestle Way, Breinigsville, PA 18031, USA"
2.6,A,83,no,"NFI","910 Nestle Way, Breinigsville, PA 18031, USA"
2.6,B,50,no,"ABC Fulfillment","2918 Schoeneck Rd, Macungie, PA 18062, USA"
2.6,A,73,no,"Ocean Spray","151 Boulder Dr, Breinigsville, PA 18031, USA"
2.6,A,100,yes,"DSC Logistics Inc","400 Nestle Way, Breinigsville, PA 18031, USA"
2.7,A,100,no,"KeHE Distributors-LHV","860 Nestle Way, Breinigsville, PA 18031, USA"
2.7,A,100,no,"Nestle Water","305 Nestle Way, Breinigsville, PA 18031, USA"
2.7,A,95,no,"BlueTriton Brands - Deer Park","405 Nestle Way, Breinigsville, PA 18031, USA"
2.8,B,50,no,"BMS Logistics Inc","7485 Industrial Blvd, Allentown, PA 18106, USA"
2.8,A,83,yes,"Niagara Bottling, LLC","7561 Industrial Blvd, Allentown, PA 18106, USA"
2.8,A,80,no,"Amcor Rigid Plastics","7553 Morris Ct, Allentown, PA 18106, USA"
2.8,A,97,no,"Lineage","7132 Ruppsville Rd, Allentown, PA 18106, USA"
2.9,A,100,no,"Nestle Distribution Center (Truck Entrance)","555 Nestle Way, Breinigsville, PA 18031, USA"
2.9,A,95,no,"Keurig DrPepper","7350 Industrial Blvd, Allentown, PA 18106, USA"
2.9,A,95,no,"Owens & Minor - Allentown Distribution Center","7437 Industrial Blvd, Allentown, PA 18106, USA"
2.9,A,100,no,"DSC","861 Nestle Way, Breinigsville, PA 18031, USA"
3.0,A,95,yes,"Coca-Cola Lehigh Valley Syrup","7551 Schantz Rd, Allentown, PA 18106, USA"
3.1,A,87,no,"XPO","7649 Penn Dr, Allentown, PA 18106, USA"
3.2,A,78,no,"UTZ Quality Foods Inc","7545 Penn Dr, Allentown, PA 18106, USA"
3.2,B,50,no,"Kane Logistics, an ID Logistics company","7248 Industrial Blvd, Allentown, PA 18106, USA"
3.4,A,90,no,"Red Bull","7350 William Ave Suite 300, Allentown, PA 18106, USA"
3.7,A,92,no,"Fastenal Fulfillment Center","7036 Snowdrift Rd Suite 110, Allentown, PA 18106, USA"
3.8,A,88,yes,"Allen Distribution Frito lay/ Niagara Bottling","7058 Snowdrift Rd, Allentown, PA 18106, USA"
3.8,A,100,no,"Geodis Allentown","7189 Ambassador Dr, Allentown, PA 18106, USA"
4.0,B,50,no,"LVK Fulfillment Center","6736 Tilghman St, Allentown, PA 18106, USA"
4.1,A,93,no,"Americold Logistics, Allentown - Snowdrift","6985 Snowdrift Rd, Allentown, PA 18106, USA"
4.1,B,50,no,"McCain Foods","6985 Snowdrift Rd, Allentown, PA 18106, USA"
4.1,B,50,no,"Niagara Allen Distribution","6980 Snowdrift Rd, Allentown, PA 18106, USA"
4.1,B,50,no,"SunOpta Food Solutions","7108 Daniels Dr, Allentown, PA 18106, USA"
4.1,A,93,no,"Americold Logistics Allentown - Ambassador","7150 Ambassador Dr, Allentown, PA 18106, USA"
4.3,B,50,no,"Bazzini","1035 Mill Rd, Allentown, PA 18106, USA"
4.3,B,50,no,"WSI (Warehouse Specialists, LLC)","7144 Daniels Dr, Allentown, PA 18106, USA"
4.4,B,50,no,"Sunopta warehouse","1100 Mill Rd, Allentown, PA 18106, USA"
4.5,B,50,no,"GHG Logistics","6390 Hedgewood Dr, Allentown, PA 18106, USA"
4.6,A,88,yes,"Kenco Logistics","6975 Ambassador Dr, Allentown, PA 18106, USA"
5.0,B,50,no,"Behr Process Distribution","9670 W Hills Ct, Fogelsville, PA 18051, USA"
5.1,A,76,no,"Onvo","2277 Golden Key Rd, Kutztown, PA 19530, USA"
5.4,A,86,no,"Kenco Logistic Services","9784 Commerce Cir, Kutztown, PA 19530, USA"
5.5,A,88,no,"GEODIS | Contract Logistics","9750 Commerce Cir, Kutztown, PA 19530, USA"
5.6,A,81,no,"Advance Auto Parts Distribution Center Kutztown","9755 Commerce Cir, Kutztown, PA 19530, USA"
5.7,A,71,no,"CORNERSTONE ORGANIC FEED LLC","509 Long Ln, Kutztown, PA 19530, USA"
6.0,A,73,no,"Walgreens Micro Fulfillment Center","4741 Chapmans Rd, Allentown, PA 18104, USA"
7.2,A,74,no,"Multicell North Inc.","240 Broad St, Kutztown, PA 19530, USA"
7.5,A,81,no,"Bison Transport USA","170 Gensinger Rd, Kutztown, PA 19530, USA"
7.6,A,74,no,"Kutztown Bottling Works","78 S Whiteoak St, Kutztown, PA 19530, USA"
9.2,A,93,no,"Estes Express Lines","12 Halls Rd, Kutztown, PA 19530, USA"
10.8,A,90,yes,"KABE Amazon Warehouse","1 Pump Pl, Allentown, PA 18102, USA"
12.0,A,90,yes,"KABE AMAZON FACILITY","2203 N Irving St, Allentown, PA 18109, USA"
12.3,A,85,no,"ALDI Distribution Center","2700 Saucon Valley Rd, Bethlehem, PA 18015, USA"
12.6,A,90,no,"Ikea Distribution Center","3000 Am Dr #200, Quakertown, PA 18951, USA"
