Rank,Composite,Proximity,Fit %,Density,Distance (mi),Nearest Primo Site,Tier,Segment,Confidence,Name,Account,"City, State",Vertical,Enterprise,Network,Corridor,Address
1,99.82,100,100,5,0.1,US PL Ontario Factory,A,3pl,medium,Kuehne + Nagel Inc.,,"Ontario, CA",25,25,25,"Ontario, CA","2095 S Archibald Ave, Ontario, CA 91761, USA"
2,99.09,98,100,5,0.5,US PL Zephyrhills Factory,A,parcel,medium,FedEx Drop Box,fedex,"Zephyrhills, FL",25,25,25,"Tampa, FL","6240 Gall Blvd, Zephyrhills, FL 33542, USA"
3,98.91,98,100,5,0.6,US PL Madison Factory,A,parcel,medium,FedEx Drop Box,fedex,"Madison, WI",25,25,25,"Madison, WI","100 River Pl, Madison, WI 53716, USA"
4,98.73,98,100,5,0.7,US PL Dallas 2 Factory,A,shipper,medium,PepsiCo Mt. Creek,,"Dallas, TX",25,25,25,"Dallas, TX","3636 Mountain Creek Pkwy, Dallas, TX 75236, USA"
5,98.55,97,100,5,0.8,US PL Allentown NPL Factory,A,shipper,medium,DHL,dhl-supply-chain,"Mertztown, PA",25,25,25,"Allentown, PA","8801 Congdon Hill Dr, Mertztown, PA 19539, USA"
6,98.55,97,100,5,0.8,US PL Saratoga Spring Factory,A,parcel,medium,FedEx Drop Box,fedex,"Saratoga Springs, NY",25,25,25,"Saratoga Springs, NY","60 Railroad Pl, Saratoga Springs, NY 12866, USA"
7,98.37,97,100,5,0.9,US PL High Springs Factory,A,parcel,medium,FedEx Drop Box,fedex,"High Springs, FL",25,25,25,"Jacksonville, FL","600 NE Santa Fe Blvd, High Springs, FL 32643, USA"
8,98.07,99,96,5,0.4,US PL Denver Factory,A,shipper,medium,U.S. Meat Export Federation (USMEF),,"Denver, CO",25,22,25,"Denver, CO","Lincoln Center, 1660 Lincoln St #2800, Denver, CO 80264, USA"
9,98.02,96,100,5,1.1,US PL Sacramento Factory,A,parcel,medium,FedEx SmartPost,fedex,"Sacramento, CA",25,25,25,"Sacramento, CA","8371 Rovana Cir STE 300, Sacramento, CA 95828, USA"
10,97.89,98,96,5,0.5,US PL Denver Factory,A,shipper,medium,Western Export Services Inc,,"Denver, CO",25,22,25,"Denver, CO","1011, 140 E 19th Ave #500, Denver, CO 80203, USA"
11,97.84,96,100,5,1.2,US DC NFI - Breinigsville,A,carrier,medium,"J.B. Hunt Transport Services, Inc.",,"Breinigsville, PA",25,25,25,"Allentown, PA","8500 Willard Dr, Breinigsville, PA 18031, USA"
12,97.84,96,100,5,1.2,US PL Saratoga Spring Factory,A,parcel,medium,FedEx Drop Box,fedex,"Saratoga Springs, NY",25,25,25,"Saratoga Springs, NY","68 West Ave, Saratoga Springs, NY 12866, USA"
13,97.67,96,100,5,1.3,US PL Allentown NPL Factory,A,carrier,high,Ryder Logistics,,"Alburtis, PA",25,25,25,"Allentown, PA","8620 Congdon Hill Dr, Alburtis, PA 18011, USA"
14,97.67,96,100,5,1.3,US PL Allentown NPL Factory,A,3pl,medium,Kuehne + Nagel,,"Alburtis, PA",25,25,25,"Allentown, PA","8620 Congdon Hill Dr, Alburtis, PA 18011, USA"
15,97.67,96,100,5,1.3,US PL Allentown NPL Factory,A,carrier,medium,Penske Work,,"Alburtis, PA",25,25,25,"Allentown, PA","8783 Congdon Hill Dr, Alburtis, PA 18011, USA"
16,97.67,96,100,5,1.3,US PL Sacramento Factory,A,parcel,medium,FEDEX GROUND,fedex,"Sacramento, CA",25,25,25,"Sacramento, CA","8200 Elder Creek Rd, Sacramento, CA 95824, USA"
