Rank,Company,Best Composite,Mean Composite,Tier,Sites,Proximity,Fit %,Density,Min Distance (mi),Nearest Primo Site,"City, State",Segment,Confidence
1,Kuehne + Nagel,99.82,90.82,A,3,100,100,5,0.1,US PL Ontario Factory,"Ontario, CA",3pl,medium
2,FedEx Drop Box,99.09,90.22,A,9,98,100,5,0.5,US PL Zephyrhills Factory,"Zephyrhills, FL",parcel,medium
3,PepsiCo Mt. Creek,98.73,98.73,A,1,98,100,5,0.7,US PL Dallas 2 Factory,"Dallas, TX",shipper,medium
4,DHL,98.55,98.55,A,1,97,100,5,0.8,US PL Allentown NPL Factory,"Mertztown, PA",shipper,medium
5,U.S. Meat Export Federation (USMEF),98.07,98.07,A,1,99,96,5,0.4,US PL Denver Factory,"Denver, CO",shipper,medium
6,FedEx SmartPost,98.02,98.02,A,1,96,100,5,1.1,US PL Sacramento Factory,"Sacramento, CA",parcel,medium
7,Western Export Services Inc,97.89,97.89,A,1,98,96,5,0.5,US PL Denver Factory,"Denver, CO",shipper,medium
8,"J.B. Hunt Transport Services, Inc.",97.84,81.54,A,7,96,100,5,1.2,US DC NFI - Breinigsville,"Breinigsville, PA",carrier,medium
9,Ryder Logistics,97.67,96.14,A,2,96,100,5,1.3,US PL Allentown NPL Factory,"Alburtis, PA",carrier,high
10,Penske Work,97.67,97.67,A,1,96,100,5,1.3,US PL Allentown NPL Factory,"Alburtis, PA",carrier,medium
11,FEDEX GROUND,97.67,81.19,A,10,96,100,5,1.3,US PL Sacramento Factory,"Sacramento, CA",parcel,medium
12,The Home Depot Pro Institutional,97.45,97.45,A,1,99,93.3,5,0.3,US PL Sacramento Factory,"Sacramento, CA",shipper,high
13,Flexport Denver,97.35,97.35,A,1,97,96,5,0.8,US PL Denver Factory,"Denver, CO",shipper,medium
14,Cardinal Health at Home Distribution Center,97.32,97.32,A,1,95,100,5,1.5,US PL Ontario Factory,"Ontario, CA",shipper,high
15,Target Grocery,97.27,97.27,A,1,99,93.3,5,0.4,US PL Denver Factory,"Denver, CO",shipper,medium
16,Coca-Cola Southwest Beverages,97.14,64.6,A,9,95,100,5,1.6,US PL S Houston Factory,"Houston, TX 77054, USA",shipper,high
17,Nestle Water,96.97,74.63,A,4,94,100,5,1.7,US PL Poland Spring Factory,"Poland, ME",shipper,medium
18,Walmart Business Center,96.91,96.91,A,1,98,93.3,5,0.6,US PL Hot Springs Factory,"Hot Springs Village, AR",shipper,medium
19,Fastenal Fulfillment Center,96.82,61.74,A,83,96,96,5,1.1,US PL Greenwood Indiana,"Greenwood, IN",3pl,high
20,Geodis Logistics,96.62,81.84,A,3,94,100,5,1.9,US DC NFI - Breinigsville,"Breinigsville, PA",3pl,high
21,Saddle Creek Logistics Services,96.47,72.09,A,6,99,90.7,5,0.4,US PL Ontario Factory,"Ontario, CA",3pl,high
22,Coca-Cola,96.45,51.98,A,17,94,100,5,2,US DC NFI - Breinigsville,"Breinigsville, PA",shipper,medium
23,Frito-Lay Inc,95.94,78.49,A,5,93,100,5,2.3,US PL Dallas 2 Factory,"Dallas, TX",shipper,high
