Name,Address,Lat,Lng,PlaceId,ICP Score,Tier,Vertical Match,Enterprise Scale,Network Complexity,Primo Proximity,Corridor Density,Place Type Bonus,Is Existing Account,Existing Account Slug,Nearest Primo Site,Primo Distance (mi),Corridor,Discovered Via,Excluded,Exclude Reason
Penske Logistics — Penske Ontario Yard,"Ontario, CA",34.045,-117.58,seed-penskelogistics.com-34.045--117.58,95,A,25,25,25,10,0,10,false,,US PL Ontario Factory,1,Ontario,[object Object],false,
Ryder System — Ryder Indianapolis,"Indianapolis, IN",39.73,-86.095,seed-ryder.com-39.73--86.095,94,A,25,25,25,8,1,10,false,,US PL Greenwood Indiana,9.4,Indianapolis,[object Object],false,
US Foods — US Foods Allentown DC,"Upper Macungie Township, PA",40.565,-75.593,seed-usfoods.com-40.565--75.593,93,A,25,25,25,10,3,5,false,,US DC NFI - Breinigsville,2.9,Upper Macungie Township,[object Object],false,
Bimbo Bakeries USA — Bimbo Bakeries Allentown,"Allentown, PA",40.5744,-75.5856,seed-bimbobakeriesusa.com-40.5744--75.5856,93,A,25,25,25,10,3,5,false,,US DC NFI - Breinigsville,3.6,Upper Macungie Township,[object Object],false,
Geodis — Geodis Logistics Allentown,"Allentown, PA",40.541,-75.568,seed-geodis.com-40.541--75.568,93,A,25,25,20,10,3,10,false,,US DC NFI - Breinigsville,3.2,Upper Macungie Township,[object Object],false,
XPO — XPO DFW Service Center,"Grand Prairie, TX",32.717,-96.95,seed-xpo.com-32.717--96.95,93,A,25,22,25,10,1,10,false,,US PL Dallas 2 Factory,1.5,Grand Prairie,[object Object],false,
NFI Industries — NFI DC Breinigsville,"Breinigsville, PA",40.5375,-75.6495,seed-nfiindustries.com-40.5375--75.6495,91,A,25,18,25,10,3,10,false,,US PL Allentown Factory,0.9,Upper Macungie Township,[object Object],false,
Sysco — Sysco Dallas DC,"Grand Prairie, TX",32.696,-96.978,seed-sysco.com-32.696--96.978,91,A,25,25,25,10,1,5,false,,US PL Dallas 2 Factory,1.8,Grand Prairie,[object Object],false,
CEVA Logistics — CEVA Logistics DFW,"Coppell, TX",32.965,-96.975,seed-cevalogistics.com-32.965--96.975,90,A,25,25,25,5,0,10,false,,US PL Dallas 2 Factory,18.7,Grand Prairie,[object Object],false,
Lineage Logistics — Lineage Logistics Colton Cold Storage,"Colton, CA",34.054,-117.31,seed-lineagelogistics.com-34.054--117.31,87,A,25,22,25,5,0,10,false,,US PL Ontario Factory,16.3,Riverside,[object Object],false,
McLane Company — McLane DFW DC,"Carrollton, TX",32.976,-96.89,seed-mclaneco.com-32.976--96.89,85,A,25,25,25,5,0,5,false,,US PL Dallas 2 Factory,19.7,Grand Prairie,[object Object],false,
Dean Foods (now DFA facilities) — DFA Dallas Processing Plant,"Dallas, TX",32.7767,-96.797,seed-dfamilk.com-32.7767--96.797,85,A,25,25,25,5,0,5,false,,US PL Dallas 2 Factory,10.4,Grand Prairie,[object Object],false,
Saddle Creek Logistics — Saddle Creek Lakeland HQ & DC,"Lakeland, FL",28.0395,-81.9498,seed-sclogistics.com-28.0395--81.9498,83,A,25,18,25,5,0,10,false,,US PL Zephyrhills Factory,20.1,Lakeland,[object Object],false,
Arrow Electronics — Arrow Electronics HQ,"Centennial, CO",39.588,-104.853,seed-arrow.com-39.588--104.853,80,A,25,25,25,5,0,0,false,,US PL Denver Factory,12.7,Centennial,[object Object],false,
Saputo — Saputo Almena WI Cheese Plant,"Almena, WI",45.42,-92.03,seed-saputo.com-45.42--92.03,80,A,25,25,25,0,0,5,false,,US PL Madison Factory,211.1,Almena,[object Object],false,
Estes Express Lines — Estes DFW Terminal,"Grand Prairie, TX",32.72,-96.94,seed-estes-express.com-32.72--96.94,79,A,25,18,25,10,1,0,false,,US PL Dallas 2 Factory,1.8,Grand Prairie,[object Object],false,
Wakefern Food Corp — Wakefern Distribution Center,"Breinigsville, PA",40.5465,-75.6305,seed-wakefern.com-40.5465--75.6305,78,A,20,25,15,10,3,5,false,,US DC NFI - Breinigsville,0.9,Upper Macungie Township,[object Object],false,
Halliburton — Halliburton Houston Campus,"Houston, TX",29.763,-95.361,seed-halliburton.com-29.763--95.361,78,A,20,25,25,8,0,0,false,,US PL S Houston Factory,6.9,Houston,[object Object],false,
Ocean Spray — Ocean Spray Distribution,"Breinigsville, PA",40.566,-75.596,seed-oceanspray.com-40.566--75.596,76,A,25,18,15,10,3,5,false,,US DC NFI - Breinigsville,2.8,Upper Macungie Township,[object Object],false,
Bridgestone Americas — Bridgestone Americas Distribution Center,"Upper Macungie Township, PA",40.5595,-75.578,seed-bridgestoneamericas.com-40.5595--75.578,75,A,20,22,20,10,3,0,false,,US DC NFI - Breinigsville,3.2,Upper Macungie Township,[object Object],false,
Uline — Uline Allentown DC,"Upper Macungie Township, PA",40.552,-75.587,seed-uline.com-40.552--75.587,75,A,25,22,15,10,3,0,false,,US DC NFI - Breinigsville,2.5,Upper Macungie Township,[object Object],false,
LyondellBasell — LyondellBasell Channelview Complex,"Channelview, TX",29.777,-95.115,seed-lyondellbasell.com-29.777--95.115,75,A,20,25,25,5,0,0,false,,US PL Pasadena Factory,15,Channelview,[object Object],false,
Dollar General — Dollar General Riverside DC,"Riverside, CA",33.9,-117.39,seed-dollargeneral.com-33.9--117.39,75,A,20,25,20,5,0,5,false,,US PL Ontario Factory,15,Riverside,[object Object],false,
Molson Coors Beverage Company — Molson Coors Golden Brewery,"Golden, CO",39.7555,-105.2211,seed-molsoncoors.com-39.7555--105.2211,75,A,25,25,15,5,0,5,false,,US PL Denver Factory,12.3,Golden,[object Object],false,
Land O'Lakes — Land O'Lakes Spencer WI Plant,"Spencer, WI",44.757,-90.296,seed-landolakes.com-44.757--90.296,75,A,25,25,20,0,0,5,false,,US PL Madison Factory,127.1,Spencer,[object Object],false,
Leprino Foods — Leprino Foods Denver HQ & Plant,"Denver, CO",39.781,-104.971,seed-leprinofoods.com-39.781--104.971,73,A,25,18,15,10,0,5,false,,US PL Denver Factory,3.1,Golden,[object Object],false,
Newell Brands — Newell Brands Ontario DC,"Ontario, CA",34.05,-117.63,seed-newellbrands.com-34.05--117.63,72,A,20,22,20,10,0,0,false,,US PL Ontario Factory,2.3,Ontario,[object Object],false,
Schreiber Foods — Schreiber Foods Green Bay HQ & Plant,"Green Bay, WI",44.5133,-88.0133,seed-schreiberfoods.com-44.5133--88.0133,72,A,25,22,20,0,0,5,false,,US PL Madison Factory,120.1,Green Bay,[object Object],false,
Sonoco Products — Sonoco HQ & Plant,"Hartsville, SC",34.374,-80.074,seed-sonoco.com-34.374--80.074,72,A,20,22,25,5,0,0,false,,US PL McBee Factory,12.4,Hartsville,[object Object],false,
Eli Lilly and Company — Eli Lilly Indianapolis HQ & Manufacturing,"Indianapolis, IN",39.768,-86.162,seed-lilly.com-39.768--86.162,71,A,20,25,20,5,1,0,true,keurig-dr-pepper,US PL Greenwood Indiana,12.2,Indianapolis,[object Object],false,
