company_or_facility,facility_city_state,segment,icp_tier,icp_score,distance_mi,nearest_live_site,corridor
"Nestle Bottled Water Delivery Dallas","Dallas, TX","shipper","A",95,1.0,"Dallas, TX","Dallas, TX"
"U.S. Meat Export Federation (USMEF)","Denver, CO","shipper","A",87,0.4,"Denver, CO","Denver, CO"
"Western Export Services Inc","Denver, CO","shipper","A",87,0.5,"Denver, CO","Denver, CO"
"Flexport Denver","Denver, CO","shipper","A",87,0.8,"Denver, CO","Denver, CO"
"Cardinal Health at Home Distribution Center","Ontario, CA","shipper","A",100,1.5,"Ontario, CA","Ontario, CA"
"Target Grocery","Denver, CO","shipper","A",90,0.4,"Denver, CO","Denver, CO"
"Walmart Business Center","Hot Springs Village, AR","shipper","A",90,0.6,"Hot Springs, AR","Little Rock, AR"
"Fastenal Fulfillment Center","Greenwood, IN","3pl","A",92,1.1,"Greenwood, IN","Indianapolis, IN"
"Frito-Lay - Dallas-Fort Worth Warehouse","Dallas, TX","shipper","A",95,2.3,"Dallas, TX","Dallas, TX"
"Blue Eagle Logistics, Inc.","Breinigsville, PA","3pl","A",100,2.4,"Breinigsville, PA","Allentown, PA"
"Bimbo Bakeries USA","Sacramento, CA","shipper","A",95,2.5,"Sacramento, CA","Sacramento, CA"
"Grainger Industrial Supply","Madison, WI","shipper","A",95,2.5,"Madison, WI","Madison, WI"
"DSC Logistics Inc","Breinigsville, PA","3pl","A",100,2.6,"Breinigsville, PA","Allentown, PA"
"KeHE Distributors-LHV","Breinigsville, PA","shipper","A",100,2.7,"Breinigsville, PA","Allentown, PA"
"BlueTriton Brands - Deer Park","Breinigsville, PA","shipper","A",95,2.7,"Breinigsville, PA","Allentown, PA"
"Deer Park Bottled Water Delivery Breinigsville","Breinigsville, PA","shipper","A",95,2.7,"Breinigsville, PA","Allentown, PA"
"Caterpillar Inc","Ontario, CA","shipper","A",85,1.6,"Ontario, CA","Ontario, CA"
"Niagara Bottling","Ontario, CA","shipper","A",83,0.3,"Ontario, CA","Ontario, CA"
"Culinaire Foods","Denver, CO","shipper","A",87,2.5,"Denver, CO","Denver, CO"
"Costco Distribution Depot","Dallas, TX","shipper","A",80,0.9,"Dallas, TX","Dallas, TX"
"Dollar General","High Springs, FL","shipper","A",85,0.9,"High Springs, FL","Jacksonville, FL"
"Cummins Regional Distribution Center - Dallas","Dallas, TX","shipper","A",85,2.1,"Dallas, TX","Dallas, TX"
"Aldi Distribution Center","Greenwood, IN","shipper","A",90,1.0,"Greenwood, IN","Indianapolis, IN"
"Reyes Coca-Cola Bottling","Rancho Cucamonga, CA","shipper","A",90,3.6,"Ontario, CA","Ontario, CA"
"Bridgestone Firestone Distribution Center","Ontario, CA","shipper","A",92,1.7,"Ontario, CA","Ontario, CA"
"Crete Carrier Corporation","Macungie, PA","shipper","A",95,2.4,"Breinigsville, PA","Allentown, PA"
