account,facility_city_state,nearest_live_site,distance_mi,icp_tier,segment,corridor
"Kgp Logistics","Ontario, CA","Ontario, CA",0.1,"B","3pl","Ontario, CA"
"Mountain Valley Spring Co- Bottling Facility","Hot Springs Village, AR","Hot Springs, AR",0.1,"C","shipper","Little Rock, AR"
"Niagara Bottling","Ontario, CA","Ontario, CA",0.3,"A","shipper","Ontario, CA"
"Oec Group Liquid Logistics Solutions","Houston, TX","Pasadena, TX",0.4,"C","3pl","Houston, TX"
"Chewy Fulfillment Center DFW1","Dallas, TX","Dallas, TX",0.5,"A","3pl","Dallas, TX"
"El Super Distribution Center","Ontario, CA","Ontario, CA",0.6,"B","shipper","Ontario, CA"
"Flex Logistics","Ontario, CA","Ontario, CA",0.7,"B","3pl","Ontario, CA"
"Flexport Denver","Denver, CO","Denver, CO",0.8,"A","shipper","Denver, CO"
"Costco Distribution Depot","Dallas, TX","Dallas, TX",0.9,"A","shipper","Dallas, TX"
"Consolidated Bonded Warehouses Inc.","Houston, TX","Houston, TX",0.9,"B","shipper","Houston, TX"
"JCT Logistics Inc.","Ontario, CA","Ontario, CA",0.9,"B","3pl","Ontario, CA"
"Frontier Logistics","Ontario, CA","Ontario, CA",0.9,"C","3pl","Ontario, CA"
"WCS Distribution","Ontario, CA","Ontario, CA",1.0,"C","shipper","Ontario, CA"
"DSI Logistics, Inc.","Houston, TX","Houston, TX",1.1,"B","3pl","Houston, TX"
"Caterpillar Inc","Ontario, CA","Ontario, CA",1.6,"A","shipper","Ontario, CA"
"BASF Corporation","Houston, TX","Houston, TX",1.6,"A","shipper","Houston, TX"
"Bridgestone Firestone Distribution Center","Ontario, CA","Ontario, CA",1.7,"A","shipper","Ontario, CA"
"Danone North America","Dallas, TX","Dallas, TX",1.7,"A","shipper","Dallas, TX"
"Staples Fulfillment Center","Ontario, CA","Ontario, CA",1.8,"A","3pl","Ontario, CA"
"Panera Bread Warehouse","Ontario, CA","Ontario, CA",2.0,"A","shipper","Ontario, CA"
"Cummins Regional Distribution Center - Dallas","Dallas, TX","Dallas, TX",2.1,"A","shipper","Dallas, TX"
"Dupont Industrial Center","Ontario, CA","Ontario, CA",2.1,"A","shipper","Ontario, CA"
"Blue Eagle Logistics, Inc.","Breinigsville, PA","Breinigsville, PA",2.4,"A","3pl","Allentown, PA"
"Culinaire Foods","Denver, CO","Denver, CO",2.5,"A","shipper","Denver, CO"
"DSC Logistics Inc","Breinigsville, PA","Breinigsville, PA",2.6,"A","3pl","Allentown, PA"
"Next Carriers","Greenwood, IN","Greenwood, IN",2.6,"A","shipper","Indianapolis, IN"
"Owens & Minor - Allentown Distribution Center","Allentown, PA","Breinigsville, PA",2.8,"A","shipper","Allentown, PA"
"AutoZone Distribution Center","Ontario, CA","Ontario, CA",2.8,"A","shipper","Ontario, CA"
"Kimberly Clark","Ontario, CA","Ontario, CA",3.4,"A","shipper","Ontario, CA"
"WestRock - Corrugated Container","Ontario, CA","Ontario, CA",3.6,"A","shipper","Ontario, CA"
"Shorr Packaging Corp","Ontario, CA","Ontario, CA",4.0,"A","shipper","Ontario, CA"
"Stearns Packaging Corporation","Madison, WI","Madison, WI",4.1,"A","shipper","Madison, WI"
"Exchange Logistics","Dallas, TX","Dallas, TX",4.6,"A","3pl","Dallas, TX"
"DSV Silutions Shell warehouse Panalpina","Pasadena, TX","Pasadena, TX",6.8,"A","3pl","Houston, TX"
"Superior Carriers Inc","Pasadena, TX","Pasadena, TX",6.8,"A","shipper","Houston, TX"
"GLOBALFOUNDRIES","Malta, NY","Saratoga Springs, NY",7.2,"B","shipper","Saratoga Springs, NY"
"Bison Transport USA","Kutztown, PA","Breinigsville, PA",7.5,"A","carrier","Allentown, PA"
"Williams-Sonoma Distribution Center","Arlington, TX","Dallas, TX",7.6,"A","shipper","Dallas, TX"
"T553 Target Distribution Center","Fontana, CA","Ontario, CA",8.3,"A","shipper","Ontario, CA"
"Landmark Express","Grand Prairie, TX","Dallas, TX",8.3,"A","shipper","Dallas, TX"
"Rios Packaging Corporation, LLC","Dallas, TX","Dallas, TX",8.6,"A","shipper","Dallas, TX"
"MSI Express, Inc.","Grand Prairie, TX","Dallas, TX",8.9,"A","shipper","Dallas, TX"
"Neway Packaging Corporation","Commerce City, CO","Denver, CO",9.1,"A","shipper","Denver, CO"
"Kwik Trip Distribution Center-DeForest","Windsor, WI","Madison, WI",9.2,"A","shipper","Madison, WI"
"ContiTech USA, Inc Warehouse","Sun Prairie, WI","Madison, WI",9.3,"A","shipper","Madison, WI"
"Medline Industries Distribution Center","Aurora, CO","Denver, CO",13.2,"A","shipper","Denver, CO"
