Account,Facilities,Truck-Gated,Guarded,Fast-Lane Opps,Rural,Rail-Served,Total Dock Doors,Total Trailer Capacity,Top Archetype
ab-inbev,21,13,11,10,11,15,614,4072,#3 (8)
amazon,16,15,12,16,9,0,1890,3825,#10 (6)
ball,18,7,2,3,11,3,476,857,#3 (11)
barnes-noble,2,2,0,0,0,0,148,125,#9 (2)
bob-evans-farms,7,2,0,0,7,0,76,298,#3 (5)
boston-beer-company,5,1,1,1,3,1,71,300,#3 (4)
campbells,21,12,4,7,13,2,712,1814,#3 (9)
caterpillar,21,20,6,11,17,10,628,1340,#9 (14)
cj-logistics-america,27,17,9,11,11,4,2134,3005,#3 (10)
coca-cola,30,17,5,9,2,5,1059,2630,#3 (13)
constellation-brands,11,2,2,3,9,2,148,179,#3 (9)
cost-plus-world-market,2,2,1,0,1,1,200,500,#9 (1)
costco,11,11,10,11,8,0,1685,5302,#6 (4)
crowley,26,22,16,11,4,9,477,28102,#6 (11)
daimler-truck-north-america,16,7,3,6,6,6,562,1944,#3 (9)
dannon,14,8,1,3,4,0,300,556,#9 (7)
dhl-supply-chain,24,13,1,10,9,0,1626,1790,#9 (12)
diageo,10,3,2,4,8,1,295,567,#3 (7)
fedex,30,26,18,21,8,0,4115,9810,#7 (10)
ford,24,24,18,19,9,20,907,2692,#6 (13)
frito-lay,30,24,11,14,16,17,1301,5027,#9 (13)
general-mills,26,18,1,10,15,10,883,2234,#9 (17)
general-motors,41,35,21,29,20,24,1872,3685,#9 (14)
georgia-pacific,30,24,17,15,24,25,721,3402,#6 (13)
gxo,30,10,5,16,11,1,3107,3586,#3 (20)
h-e-b,16,7,3,7,4,2,832,1854,#3 (9)
harris-teeter,3,3,2,3,2,0,223,590,#6 (2)
honda,18,15,13,12,16,4,1019,3895,#6 (9)
hormel-foods,27,11,4,15,14,5,766,1609,#3 (16)
hyundai-motor-america,17,10,7,9,7,6,548,15118,#3 (7)
jm-smucker,17,8,2,12,11,6,504,1252,#3 (9)
john-deere,22,12,7,13,15,3,666,1999,#3 (10)
kenco-logistics,30,8,1,15,11,5,1996,2614,#3 (22)
keurig-dr-pepper,22,7,2,12,8,3,851,1838,#3 (15)
kimberly-clark,18,13,6,8,13,5,807,2264,#9 (7)
kraft-heinz,27,15,6,5,18,4,525,722,#3 (12)
kroger,62,43,21,41,24,5,4046,9055,#9 (22)
mondelez,22,11,4,10,8,6,698,1292,#3 (11)
nestle-usa,12,10,6,9,9,7,534,1180,#9 (4)
nfi,16,10,4,11,10,0,1836,4009,#9 (6)
niagara-bottling,30,16,6,23,16,0,1703,2518,#3 (14)
pactiv-evergreen,30,16,3,14,18,12,950,2408,#3 (14)
pepsico,30,16,8,12,6,3,1145,2998,#3 (14)
performance-food-group,30,15,3,7,17,3,1324,2240,#3 (15)
publix,11,11,7,10,4,1,1395,2550,#6 (5)
salson-logistics,14,8,3,7,4,2,470,3150,#3 (6)
sams-club,10,8,5,9,8,1,1083,2530,#9 (3)
sc-johnson,10,5,1,7,7,3,630,1178,#3 (5)
seven-eleven,11,3,1,4,2,0,460,836,#3 (8)
stop-and-shop,7,5,3,5,6,0,742,1760,#6 (2)
target,24,23,14,23,20,1,2961,8640,#9 (9)
the-home-depot,30,27,17,26,15,2,4456,8030,#10 (14)
toyota,17,16,11,15,12,7,1063,4577,#7 (6)
tractor-supply,11,9,7,9,11,1,1119,2390,#10 (7)
tyson-foods,17,12,9,15,14,7,858,4308,#6 (8)
unfi,30,14,9,14,21,2,2362,3874,#3 (16)
universal-logistics,26,11,2,13,13,1,1186,5260,#3 (15)
walmart,12,10,6,11,10,0,2114,5250,#6 (4)
westrock-coffee,6,3,0,4,1,1,211,339,#9 (3)
TOTAL,1178,746,380,650,611,264,68090,201769,
