,,,,,,,,,Connectivity,Shipment,Shifts per,Guards per,DCs per,,,,Staging Area,,Driveway,,Backup,Entry/Exit,,,,Fast Lane,Dock Doors,,,,Drop Area,,,,Ship/Rcv,Urban /,Potential,Multiple,,Remote,
Name,Type,Archetype,Archetype Name,,WMS,TMS,YMS,EBOL,Available,Volume,Day,Shift,Shift,Truck Gate?,Guard Shack?,Remote GS?,Pre-Gate,Post-Gate,Long (3+),Short (1-2 trucks),Sensitive?,Together,Separate,Entry Lanes,Exit Lanes,Opportunity?,0-10,10-25,25-50,50+,0-10,10-25,25-50,50+,Separate?,Rural,Connectivity Issue?,Facilities?,Scale,Drop Yard,
Anheuser-Busch Brewery - St. Louis MO,Brewery,#6,Gate + GS (not BU sens.) + campus,,,,,,,,,,,YES,YES,,,YES,YES,,YES,YES,,2,2,YES,,,,YES,,,,YES,YES,Urban,,YES,YES,YES,"https://www.google.com/maps/@38.59650,-90.20800,400m/data=!3m1!1e3"
Anheuser-Busch Brewery - Houston TX,Brewery,#9,Gate + No GS (remote check-in),,,,,,,,,,,YES,,YES,,YES,YES,,,YES,,2,2,YES,,,YES,,,,,YES,,Urban,,,,YES,"https://www.google.com/maps/@29.77150,-95.26900,400m/data=!3m1!1e3"
Anheuser-Busch Brewery - Columbus OH,Brewery,#7,Gate + GS (not BU sens.) + fast lane opp,,,,,,,,,,,YES,YES,,,YES,YES,,,YES,,2,2,YES,,,YES,,,,,YES,,Urban,,,,YES,"https://www.google.com/maps/@40.10500,-82.99350,400m/data=!3m1!1e3"
Anheuser-Busch Brewery - Jacksonville FL,Brewery,#7,Gate + GS (not BU sens.) + fast lane opp,,,,,,,,,,,YES,YES,,,YES,YES,,,YES,,2,2,YES,,,YES,,,,,YES,,Urban,,,,YES,"https://www.google.com/maps/@30.43250,-81.64900,400m/data=!3m1!1e3"
Anheuser-Busch Brewery - Williamsburg VA,Brewery,#7,Gate + GS (not BU sens.) + fast lane opp,,,,,,,,,,,YES,YES,,YES,YES,YES,,,YES,,2,2,YES,,,YES,,,,,YES,,Rural,,,,YES,"https://www.google.com/maps/@37.23800,-76.65350,400m/data=!3m1!1e3"
Anheuser-Busch Brewery - Baldwinsville NY,Brewery,#7,Gate + GS (not BU sens.) + fast lane opp,,,,,,,,,,,YES,YES,,,YES,YES,,,YES,,2,2,YES,,,YES,,,,,YES,,Rural,,,,YES,"https://www.google.com/maps/@43.16800,-76.31050,400m/data=!3m1!1e3"
Anheuser-Busch Brewery - Fort Collins CO,Brewery,#6,Gate + GS (not BU sens.) + campus,,,,,,,,,,,YES,YES,,YES,YES,YES,,,YES,,2,2,YES,,,YES,,,,,YES,,Rural,,YES,YES,YES,"https://www.google.com/maps/@40.62000,-105.00750,400m/data=!3m1!1e3"
Anheuser-Busch Brewery - Cartersville GA,Brewery,#6,Gate + GS (not BU sens.) + campus,,,,,,,,,,,YES,YES,,,YES,YES,,,,YES,1,1,YES,,,,YES,,,,YES,YES,Rural,,YES,YES,YES,"https://www.google.com/maps/@34.25700,-84.78300,400m/data=!3m1!1e3"
Anheuser-Busch Brewery - Van Nuys (Los Angeles) CA,Brewery,#6,Gate + GS (not BU sens.) + campus,,,,,,,,,,,YES,YES,,,YES,,YES,YES,YES,,2,2,YES,,,YES,,,,,YES,YES,Urban,,YES,,YES,"https://www.google.com/maps/@34.21850,-118.47900,400m/data=!3m1!1e3"
