,,,,,,,,,Connectivity,Shipment,Shifts per,Guards per,DCs per,,,,Staging Area,,Driveway,,Backup,Entry/Exit,,,,Fast Lane,Dock Doors,,,,Drop Area,,,,Ship/Rcv,Urban /,Potential,Multiple,,Remote,
Name,Type,Archetype,Archetype Name,,WMS,TMS,YMS,EBOL,Available,Volume,Day,Shift,Shift,Truck Gate?,Guard Shack?,Remote GS?,Pre-Gate,Post-Gate,Long (3+),Short (1-2 trucks),Sensitive?,Together,Separate,Entry Lanes,Exit Lanes,Opportunity?,0-10,10-25,25-50,50+,0-10,10-25,25-50,50+,Separate?,Rural,Connectivity Issue?,Facilities?,Scale,Drop Yard,
Caterpillar - Decatur IL Plant,"Manufacturing plant (mining trucks, large wheel loaders, motor graders)",#9,Gate + No GS (remote check-in),,,,,,,,,,,YES,,YES,,YES,YES,,,YES,,2,2,YES,,YES,,,,,YES,,YES,Rural,,YES,,YES,"https://www.google.com/maps/@39.8788,-88.9100,400m/data=!3m1!1e3"
Caterpillar - East Peoria IL Plant,"Manufacturing plant (track-type tractors, components)",#9,Gate + No GS (remote check-in),,,,,,,,,,,YES,,YES,,,,YES,YES,YES,,1,1,,,YES,,,,YES,,,,Urban,,YES,,YES,"https://www.google.com/maps/@40.6730,-89.5955,400m/data=!3m1!1e3"
Caterpillar - Mapleton IL Foundry,Manufacturing plant (foundry - engine castings for 3500/3600/C175),#9,Gate + No GS (remote check-in),,,,,,,,,,,YES,,YES,,YES,YES,,,YES,,1,1,,,YES,,,,YES,,,,Rural,,YES,YES,YES,"https://www.google.com/maps/@40.5597,-89.7475,400m/data=!3m1!1e3"
Caterpillar - Lafayette IN Large Engine Center,Manufacturing plant (large engines; $725M campus expansion underway),#9,Gate + No GS (remote check-in),,,,,,,,,,,YES,,YES,,YES,YES,,,YES,,1,1,YES,,YES,,,,,YES,,,Urban,,YES,,YES,"https://www.google.com/maps/@40.4138,-86.8460,400m/data=!3m1!1e3"
Caterpillar - Sanford NC Plant,"Manufacturing plant (BCP - skid-steer, multi-terrain, compact track loaders)",#9,Gate + No GS (remote check-in),,,,,,,,,,,YES,,YES,,YES,YES,,,YES,,1,1,YES,,,YES,,,,YES,,YES,Rural,,YES,,YES,"https://www.google.com/maps/@35.5455,-79.1722,400m/data=!3m1!1e3"
Caterpillar - Clayton NC Plant,Manufacturing plant (BCP - small wheel loader assembly),#9,Gate + No GS (remote check-in),,,,,,,,,,,YES,,YES,,YES,YES,,,YES,,1,1,,,YES,,,,,YES,,,Rural,,YES,,YES,"https://www.google.com/maps/@35.6405,-78.4248,400m/data=!3m1!1e3"
Caterpillar - Mossville IL Engine & Research Campus,"Manufacturing & research campus (engines, components)",#9,Gate + No GS (remote check-in),,,,,,,,,,,YES,,YES,,YES,YES,,,YES,,1,1,YES,,YES,,,,,YES,,YES,Rural,,YES,,YES,"https://www.google.com/maps/@40.8445,-89.5565,400m/data=!3m1!1e3"
Caterpillar - Aurora (Montgomery) IL Plant,Manufacturing plant (wheel loaders; site reportedly listed for sale),#6,Gate + GS (not BU sens.) + campus,,,,,,,,,,,YES,YES,,,YES,YES,,,,,1,1,YES,,YES,,,,,YES,,YES,Rural,,YES,,YES,"https://www.google.com/maps/@41.714,-88.3645,400m/data=!3m1!1e3"
Caterpillar - Morton IL Global Parts Distribution Center,"Parts distribution center (anchor depot, 3M+ sq ft)",#9,Gate + No GS (remote check-in),,,,,,,,,,,YES,,YES,,YES,YES,,,,YES,1,1,,,,,YES,,,YES,,YES,Rural,,YES,,YES,"https://www.google.com/maps/@40.6185,-89.4585,400m/data=!3m1!1e3"
