,,,,,,,,,Connectivity,Shipment,Shifts per,Guards per,DCs per,,,,Staging Area,,Driveway,,Backup,Entry/Exit,,,,Fast Lane,Dock Doors,,,,Drop Area,,,,Ship/Rcv,Urban /,Potential,Multiple,,Remote,
Name,Type,Archetype,Archetype Name,,WMS,TMS,YMS,EBOL,Available,Volume,Day,Shift,Shift,Truck Gate?,Guard Shack?,Remote GS?,Pre-Gate,Post-Gate,Long (3+),Short (1-2 trucks),Sensitive?,Together,Separate,Entry Lanes,Exit Lanes,Opportunity?,0-10,10-25,25-50,50+,0-10,10-25,25-50,50+,Separate?,Rural,Connectivity Issue?,Facilities?,Scale,Drop Yard,
Coca-Cola Atlanta Syrup Plant - Atlanta GA,Concentrate / Syrup Plant,#10,Ship/Rcv Separate (Gate+GS),,,,,,,,,,,YES,YES,,YES,YES,YES,,,YES,,1,1,YES,,,YES,,,,,YES,YES,Urban,,,,YES,"https://www.google.com/maps/@33.65735,-84.39335,400m/data=!3m1!1e3"
Coca-Cola Atlanta Beverage Base Plant - Atlanta GA,Concentrate / Beverage Base Plant,#1,Gate + GS (not BU sens.),,,,,,,,,,,YES,YES,,,,YES,,,YES,,2,1,,,YES,,,,YES,,,,Urban,,,,YES,"https://www.google.com/maps/@33.73430,-84.56900,400m/data=!3m1!1e3"
"Coca-Cola Consolidated - Charlotte (Snyder) Production Center, NC",Bottling / Manufacturing Plant,#6,Gate + GS (not BU sens.) + campus,,,,,,,,,,,YES,YES,,,YES,YES,,,YES,,1,1,,,,,YES,,,,YES,YES,Urban,,YES,,YES,"https://www.google.com/maps/@35.28450,-80.88300,400m/data=!3m1!1e3"
"Coca-Cola Consolidated - Nashville Production Center, TN",Bottling / Manufacturing Plant,#3,No Gate / No GS,,,,,,,,,,,,,,,,YES,,,YES,,1,1,,,,YES,,,,,YES,,Urban,,,,YES,"https://www.google.com/maps/@36.12400,-86.76930,400m/data=!3m1!1e3"
"Coca-Cola Consolidated - Mobile Production Center, AL",Bottling / Manufacturing Plant,#9,Gate + No GS (remote check-in),,,,,,,,,,,YES,,YES,,YES,YES,,,YES,,1,1,,,YES,,,,YES,,,,Urban,,,,YES,"https://www.google.com/maps/@30.58700,-88.16800,400m/data=!3m1!1e3"
"Coca-Cola Consolidated - Roanoke Production Center, VA",Bottling / Manufacturing Plant,#9,Gate + No GS (remote check-in),,,,,,,,,,,YES,,YES,,YES,YES,,,YES,,1,1,,,,YES,,,,,YES,,Urban,,YES,,YES,"https://www.google.com/maps/@37.27550,-79.94830,400m/data=!3m1!1e3"
"Coca-Cola Consolidated - Bishopville Production Center, SC",Bottling / Manufacturing Plant,#3,No Gate / No GS,,,,,,,,,,,,,,,YES,YES,,,YES,,2,2,YES,,,YES,,,,,YES,YES,Rural,,,,YES,"https://www.google.com/maps/@34.2231,-80.2337,400m/data=!3m1!1e3"
"Coca-Cola Consolidated - Indianapolis Production Facility, IN",Bottling / Manufacturing Plant,#3,No Gate / No GS,,,,,,,,,,,,,,,YES,YES,,,YES,,2,2,YES,,,,YES,,,,YES,YES,Urban,,,,YES,"https://www.google.com/maps/@39.8039,-86.2455,400m/data=!3m1!1e3"
"Coca-Cola Consolidated - Whitestown Distribution & Warehouse, IN",Distribution Center / Automated Warehouse,#3,No Gate / No GS,,,,,,,,,,,,,,,YES,YES,,,YES,,,,YES,,,YES,,,YES,,,,Rural,,,,YES,"https://www.google.com/maps/@39.952,-86.372,400m/data=!3m1!1e3"
"Coca-Cola Consolidated - Columbus Distribution Center, OH",Distribution Center,#3,No Gate / No GS,,,,,,,,,,,,,,,YES,YES,,,YES,,2,2,YES,,,,YES,,,,YES,YES,Urban,,YES,,YES,"https://www.google.com/maps/@39.8425,-82.9625,400m/data=!3m1!1e3"
