,,,,,,,,,Connectivity,Shipment,Shifts per,Guards per,DCs per,,,,Staging Area,,Driveway,,Backup,Entry/Exit,,,,Fast Lane,Dock Doors,,,,Drop Area,,,,Ship/Rcv,Urban /,Potential,Multiple,,Remote,
Name,Type,Archetype,Archetype Name,,WMS,TMS,YMS,EBOL,Available,Volume,Day,Shift,Shift,Truck Gate?,Guard Shack?,Remote GS?,Pre-Gate,Post-Gate,Long (3+),Short (1-2 trucks),Sensitive?,Together,Separate,Entry Lanes,Exit Lanes,Opportunity?,0-10,10-25,25-50,50+,0-10,10-25,25-50,50+,Separate?,Rural,Connectivity Issue?,Facilities?,Scale,Drop Yard,
Crowley JAXPORT Marine Terminal - Jacksonville FL,Marine terminal / container port,#6,Gate + GS (not BU sens.) + campus,,,,,,,,,,,YES,YES,,YES,YES,YES,,,YES,,3,2,YES,,YES,,,,,,YES,,Urban,,YES,,YES,"https://www.google.com/maps/@30.354400,-81.623900,400m/data=!3m1!1e3"
Crowley JAXPORT Terminal Office #2 - Jacksonville FL,Marine terminal / container yard,#4,Gate + GS (BU sens.),,,,,,,,,,,YES,YES,,,YES,YES,,YES,YES,,1,1,,YES,,,,,,YES,,,Urban,,,,YES,"https://www.google.com/maps/@30.337571,-81.628575,400m/data=!3m1!1e3"
Crowley JAXPORT Terminal Office #3 - Jacksonville FL,Marine terminal / container yard,#6,Gate + GS (not BU sens.) + campus,,,,,,,,,,,YES,YES,,YES,YES,YES,,,YES,,3,2,YES,YES,,,,,,,YES,,Urban,,YES,YES,YES,"https://www.google.com/maps/@30.356990,-81.625431,400m/data=!3m1!1e3"
Crowley JAXPORT Terminal Office #4 - Jacksonville FL,Marine terminal / container yard,#6,Gate + GS (not BU sens.) + campus,,,,,,,,,,,YES,YES,,YES,YES,YES,,,YES,,3,2,YES,,YES,,,,,,YES,,Urban,,YES,YES,YES,"https://www.google.com/maps/@30.348098,-81.622531,400m/data=!3m1!1e3"
Crowley Port Everglades Terminal - Fort Lauderdale FL,Marine terminal / container port,#6,Gate + GS (not BU sens.) + campus,,,,,,,,,,,YES,YES,,YES,YES,YES,,,YES,,4,4,YES,,,,,,,,YES,,Urban,,YES,YES,YES,"https://www.google.com/maps/@26.065508,-80.124022,400m/data=!3m1!1e3"
Crowley Isla Grande Terminal - San Juan PR,"Marine terminal / container port (LNG-fueled microgrid, ConRo)",#6,Gate + GS (not BU sens.) + campus,,,,,,,,,,,YES,YES,,YES,YES,YES,,YES,,YES,3,2,YES,,YES,,,,,,YES,,Urban,,YES,,YES,"https://www.google.com/maps/@18.45400,-66.10050,400m/data=!3m1!1e3"
Crowley Penn Terminals - Eddystone PA,Marine terminal with dry + refrigerated warehouse,#6,Gate + GS (not BU sens.) + campus,,,,,,,,,,,YES,YES,,YES,YES,YES,,,YES,,1,1,,,,YES,,,,,YES,,Urban,,YES,,YES,"https://www.google.com/maps/@39.85300,-75.33800,400m/data=!3m1!1e3"
Crowley Holt Terminals (Gloucester Terminal) - Gloucester City NJ,Marine terminal / breakbulk yard,#6,Gate + GS (not BU sens.) + campus,,,,,,,,,,,YES,YES,,YES,YES,YES,,YES,YES,,2,2,YES,,,,YES,,,YES,,,Urban,,YES,,YES,"https://www.google.com/maps/@39.90350,-75.12550,400m/data=!3m1!1e3"
Crowley Wilmington Port Terminal - Wilmington NC,Marine terminal / cargo yard,#6,Gate + GS (not BU sens.) + campus,,,,,,,,,,,YES,YES,,YES,YES,YES,,,,YES,2,2,YES,YES,,,,,,,YES,,Urban,,YES,,YES,"https://www.google.com/maps/@34.19300,-77.95200,400m/data=!3m1!1e3"
