,,,,,,,,,Connectivity,Shipment,Shifts per,Guards per,DCs per,,,,Staging Area,,Driveway,,Backup,Entry/Exit,,,,Fast Lane,Dock Doors,,,,Drop Area,,,,Ship/Rcv,Urban /,Potential,Multiple,,Remote,
Name,Type,Archetype,Archetype Name,,WMS,TMS,YMS,EBOL,Available,Volume,Day,Shift,Shift,Truck Gate?,Guard Shack?,Remote GS?,Pre-Gate,Post-Gate,Long (3+),Short (1-2 trucks),Sensitive?,Together,Separate,Entry Lanes,Exit Lanes,Opportunity?,0-10,10-25,25-50,50+,0-10,10-25,25-50,50+,Separate?,Rural,Connectivity Issue?,Facilities?,Scale,Drop Yard,
General Mills - Cedar Rapids IA (Wenig Rd),Manufacturing Plant,#9,Gate + No GS (remote check-in),,,,,,,,,,,YES,,YES,,YES,YES,,,YES,,1,1,YES,,,,YES,,,,YES,YES,Rural,,YES,,YES,"https://www.google.com/maps/@41.93220,-91.72020,400m/data=!3m1!1e3"
General Mills - Cedar Rapids IA (Edgewood Rd),Manufacturing Plant,#9,Gate + No GS (remote check-in),,,,,,,,,,,YES,,YES,,YES,YES,,,YES,,1,1,YES,,,,YES,,,,YES,YES,Rural,,YES,,YES,"https://www.google.com/maps/@41.93220,-91.72020,400m/data=!3m1!1e3"
General Mills - Buffalo NY,Manufacturing Plant,#3,No Gate / No GS,,,,,,,,,,,,,,,,,YES,YES,YES,,1,1,,,YES,,,,,,,,Urban,,YES,,,"https://www.google.com/maps/@42.87213,-78.87597,400m/data=!3m1!1e3"
General Mills - Wellston OH,Manufacturing Plant,#9,Gate + No GS (remote check-in),,,,,,,,,,,YES,,YES,,YES,YES,,,YES,,1,1,YES,,,YES,,,,,YES,,Rural,,YES,,YES,"https://www.google.com/maps/@39.09580,-82.54100,400m/data=!3m1!1e3"
General Mills - Murfreesboro TN,Manufacturing Plant,#9,Gate + No GS (remote check-in),,,,,,,,,,,YES,,YES,,YES,YES,,,YES,,1,1,YES,,,,YES,,,,YES,YES,Urban,,YES,,YES,"https://www.google.com/maps/@35.80100,-86.39150,400m/data=!3m1!1e3"
General Mills - Covington GA,Manufacturing Plant,#9,Gate + No GS (remote check-in),,,,,,,,,,,YES,,YES,,YES,YES,,,YES,,1,1,,,,,YES,,,,YES,YES,Rural,,YES,,YES,"https://www.google.com/maps/@33.62280,-83.82400,400m/data=!3m1!1e3"
General Mills - Hannibal MO,Manufacturing Plant,#3,No Gate / No GS,,,,,,,,,,,,,,,YES,YES,,,YES,,1,1,YES,,,YES,,,,,YES,,Rural,,YES,,YES,"https://www.google.com/maps/@39.68180,-91.41440,400m/data=!3m1!1e3"
General Mills - Belvidere IL Distribution Center,Distribution Center,#9,Gate + No GS (remote check-in),,,,,,,,,,,YES,,YES,,YES,YES,,,YES,,1,1,YES,,,,YES,,YES,,,,Rural,,,,YES,"https://www.google.com/maps/@42.24400,-88.89750,400m/data=!3m1!1e3"
General Mills (Blue Buffalo) - Richmond IN,Manufacturing Plant,#9,Gate + No GS (remote check-in),,,,,,,,,,,YES,,YES,,YES,YES,,,YES,,1,1,YES,,,,YES,,,YES,,YES,Rural,,YES,,YES,"https://www.google.com/maps/@39.85500,-84.96450,400m/data=!3m1!1e3"
