,,,,,,,,,Connectivity,Shipment,Shifts per,Guards per,DCs per,,,,Staging Area,,Driveway,,Backup,Entry/Exit,,,,Fast Lane,Dock Doors,,,,Drop Area,,,,Ship/Rcv,Urban /,Potential,Multiple,,Remote,
Name,Type,Archetype,Archetype Name,,WMS,TMS,YMS,EBOL,Available,Volume,Day,Shift,Shift,Truck Gate?,Guard Shack?,Remote GS?,Pre-Gate,Post-Gate,Long (3+),Short (1-2 trucks),Sensitive?,Together,Separate,Entry Lanes,Exit Lanes,Opportunity?,0-10,10-25,25-50,50+,0-10,10-25,25-50,50+,Separate?,Rural,Connectivity Issue?,Facilities?,Scale,Drop Yard,
GP Wauna Mill - Clatskanie OR,Tissue/Towel Mill,#6,Gate + GS (not BU sens.) + campus,,,,,,,,,,,YES,YES,,YES,YES,YES,,,YES,,1,1,YES,,YES,,,,YES,,,YES,Rural,,YES,YES,YES,"https://www.google.com/maps/@46.1552,-123.4078,400m/data=!3m1!1e3"
GP Halsey Mill - Halsey OR,Tissue/Pulp Mill,#6,Gate + GS (not BU sens.) + campus,,,,,,,,,,,YES,YES,,YES,YES,YES,,,YES,,1,1,YES,,YES,,,,,,YES,YES,Rural,,YES,YES,YES,"https://www.google.com/maps/@44.3792,-123.1605,400m/data=!3m1!1e3"
GP Crossett Mill - Crossett AR,Pulp/Paper/Tissue Mill,#6,Gate + GS (not BU sens.) + campus,,,,,,,,,,,YES,YES,,YES,YES,YES,,,YES,,1,1,YES,,,YES,,,,,YES,YES,Rural,,YES,YES,YES,"https://www.google.com/maps/@33.1395,-91.9725,400m/data=!3m1!1e3"
GP Broadway Mill - Green Bay WI,Tissue/Towel Mill,#6,Gate + GS (not BU sens.) + campus,,,,,,,,,,,YES,YES,,YES,YES,YES,,,YES,,2,2,YES,,,,YES,,,,YES,YES,Urban,,YES,YES,YES,"https://www.google.com/maps/@44.49271,-88.034475,400m/data=!3m1!1e3"
GP Muskogee Mill - Muskogee OK,Tissue/Towel Mill,#6,Gate + GS (not BU sens.) + campus,,,,,,,,,,,YES,YES,,YES,YES,YES,,,YES,,1,1,YES,,,,YES,,,,YES,YES,Rural,,YES,YES,YES,"https://www.google.com/maps/@35.7345,-95.2985,400m/data=!3m1!1e3"
GP Savannah River Mill - Rincon GA,Tissue/Towel Mill,#6,Gate + GS (not BU sens.) + campus,,,,,,,,,,,YES,YES,,YES,YES,YES,,,YES,,2,2,YES,,,YES,,,,,YES,,Rural,,YES,,YES,"https://www.google.com/maps/@32.3315,-81.2025,400m/data=!3m1!1e3"
GP Naheola Mill - Pennington AL,Pulp/Tissue/Paperboard Mill,#6,Gate + GS (not BU sens.) + campus,,,,,,,,,,,YES,YES,,YES,YES,YES,,,YES,,1,1,,,,,YES,,YES,,,YES,Rural,,YES,,YES,"https://www.google.com/maps/@32.2235,-88.029,400m/data=!3m1!1e3"
GP Plattsburgh Mill - Plattsburgh NY,Tissue/Towel Mill,#9,Gate + No GS (remote check-in),,,,,,,,,,,YES,,YES,,YES,,YES,YES,YES,,1,1,,,,YES,,,,YES,,YES,Urban,,YES,,YES,"https://www.google.com/maps/@44.7112,-73.4525,400m/data=!3m1!1e3"
GP Alabama River Cellulose Mill - Perdue Hill AL,Cellulose/Pulp Mill,#6,Gate + GS (not BU sens.) + campus,,,,,,,,,,,YES,YES,,,YES,YES,,,YES,,1,1,,,YES,,,,,,YES,,Rural,YES,YES,YES,YES,"https://www.google.com/maps/@31.58,-87.483,400m/data=!3m1!1e3"
