,,,,,,,,,Connectivity,Shipment,Shifts per,Guards per,DCs per,,,,Staging Area,,Driveway,,Backup,Entry/Exit,,,,Fast Lane,Dock Doors,,,,Drop Area,,,,Ship/Rcv,Urban /,Potential,Multiple,,Remote,
Name,Type,Archetype,Archetype Name,,WMS,TMS,YMS,EBOL,Available,Volume,Day,Shift,Shift,Truck Gate?,Guard Shack?,Remote GS?,Pre-Gate,Post-Gate,Long (3+),Short (1-2 trucks),Sensitive?,Together,Separate,Entry Lanes,Exit Lanes,Opportunity?,0-10,10-25,25-50,50+,0-10,10-25,25-50,50+,Separate?,Rural,Connectivity Issue?,Facilities?,Scale,Drop Yard,
H-E-B San Antonio RSC (Fratt Road) - San Antonio TX,Retail Support Center / Distribution Center,#9,Gate + No GS (remote check-in),,,,,,,,,,,YES,,YES,,YES,YES,,,YES,,2,2,YES,,,,YES,,,,YES,,Urban,,YES,,YES,"https://www.google.com/maps/@29.486200,-98.389900,400m/data=!3m1!1e3"
H-E-B East Side Super Regional Grocery Warehouse - San Antonio TX,Super Regional Grocery Distribution Center,#10,Ship/Rcv Separate (Gate+GS),,,,,,,,,,,YES,YES,,,YES,YES,,,YES,,2,2,YES,,,,YES,,,,YES,YES,Rural,,,,YES,"https://www.google.com/maps/@29.406300,-98.367000,400m/data=!3m1!1e3"
H-E-B Houston RSC (Windfern Road) - Houston TX,Retail Support Center / Distribution Center,#6,Gate + GS (not BU sens.) + campus,,,,,,,,,,,YES,YES,,,YES,YES,,,YES,,2,2,YES,,,,YES,,,,YES,YES,Urban,,YES,,YES,"https://www.google.com/maps/@29.837000,-95.539000,400m/data=!3m1!1e3"
H-E-B Temple RSC - Temple TX,Retail Support Center / Distribution Center,#9,Gate + No GS (remote check-in),,,,,,,,,,,YES,,YES,YES,YES,YES,,,YES,,2,2,YES,,,,YES,,,,YES,YES,Rural,,YES,,YES,"https://www.google.com/maps/@31.152500,-97.361700,400m/data=!3m1!1e3"
H-E-B Weslaco RSC - Weslaco TX,Retail Support Center / Distribution Center,#9,Gate + No GS (remote check-in),,,,,,,,,,,YES,,YES,,YES,YES,,,YES,,2,1,YES,,,,YES,,,,YES,,Urban,,YES,,YES,"https://www.google.com/maps/@26.162800,-98.002200,400m/data=!3m1!1e3"
H-E-B San Marcos RSC - San Marcos TX,Retail Support Center / Distribution Center,#10,Ship/Rcv Separate (Gate+GS),,,,,,,,,,,YES,YES,,,YES,YES,,,YES,,2,2,YES,,,,YES,,,,YES,YES,Urban,,,,YES,"https://www.google.com/maps/@29.857237,-97.963000,400m/data=!3m1!1e3"
H-E-B Manufacturing - San Antonio Snack Plant - San Antonio TX,Manufacturing Plant (Snacks / Chips),#3,No Gate / No GS,,,,,,,,,,,,,,,,,YES,,YES,,1,1,,YES,,,,,,YES,,,Urban,,YES,,YES,"https://www.google.com/maps/@29.485000,-98.389300,400m/data=!3m1!1e3"
H-E-B Manufacturing - Houston Snack Plant (Genard Road) - Houston TX,Manufacturing Plant (Snacks / Tortilla Chips),#3,No Gate / No GS,,,,,,,,,,,,,,,,,YES,,YES,,1,1,,,YES,,,,,,YES,,Urban,,YES,,YES,"https://www.google.com/maps/@29.843800,-95.541300,400m/data=!3m1!1e3"
H-E-B Manufacturing - Houston Milk & Bread Plant - Houston TX,Manufacturing Plant (Dairy / Bakery),#3,No Gate / No GS,,,,,,,,,,,,,,,,,YES,,YES,,1,1,,,,YES,,,,,YES,YES,Urban,,YES,,YES,"https://www.google.com/maps/@29.843200,-95.538400,400m/data=!3m1!1e3"
