,,,,,,,,,Connectivity,Shipment,Shifts per,Guards per,DCs per,,,,Staging Area,,Driveway,,Backup,Entry/Exit,,,,Fast Lane,Dock Doors,,,,Drop Area,,,,Ship/Rcv,Urban /,Potential,Multiple,,Remote,
Name,Type,Archetype,Archetype Name,,WMS,TMS,YMS,EBOL,Available,Volume,Day,Shift,Shift,Truck Gate?,Guard Shack?,Remote GS?,Pre-Gate,Post-Gate,Long (3+),Short (1-2 trucks),Sensitive?,Together,Separate,Entry Lanes,Exit Lanes,Opportunity?,0-10,10-25,25-50,50+,0-10,10-25,25-50,50+,Separate?,Rural,Connectivity Issue?,Facilities?,Scale,Drop Yard,
Coffee Roasting - New Orleans LA,Manufacturing - Coffee roasting/packaging (bulk),#9,Gate + No GS (remote check-in),,,,,,,,,,,YES,,YES,,YES,YES,,,YES,,2,1,YES,,,YES,,,YES,,,YES,Urban,,YES,,YES,"https://www.google.com/maps/@30.0335,-89.9112,400m/data=!3m1!1e3"
Coffee Silo Operations - New Orleans LA,Distribution/Processing - Green coffee bean silo operations,#7,Gate + GS (not BU sens.) + fast lane opp,,,,,,,,,,,YES,YES,,,YES,YES,,,YES,,,,YES,YES,,,,YES,,,,,Urban,,,,,"https://www.google.com/maps/@29.9139,-90.1122,400m/data=!3m1!1e3"
Uncrustables - McCalla AL,Manufacturing - Frozen handhelds (Uncrustables),#7,Gate + GS (not BU sens.) + fast lane opp,,,,,,,,,,,YES,YES,,,YES,YES,,,YES,,1,1,YES,,,,YES,,,YES,,,Rural,,,,YES,"https://www.google.com/maps/@33.2992,-87.0595,400m/data=!3m1!1e3"
Uncrustables - Longmont CO,Manufacturing - Frozen handhelds (Uncrustables),#3,No Gate / No GS,,,,,,,,,,,,,,,YES,YES,,,YES,,2,2,YES,,,YES,,,,,YES,,Rural,,,,YES,"https://www.google.com/maps/@40.164,-105.0525,400m/data=!3m1!1e3"
Uncrustables - Scottsville KY,Manufacturing - Frozen handhelds (Uncrustables),#3,No Gate / No GS,,,,,,,,,,,,,,,YES,YES,,,YES,,2,2,YES,,,YES,,,,,YES,YES,Rural,,,,YES,"https://www.google.com/maps/@36.7628,-86.1815,400m/data=!3m1!1e3"
Smucker's Spreads/Toppings - Orrville OH,"Manufacturing - Fruit spreads, syrups, ice cream toppings",#3,No Gate / No GS,,,,,,,,,,,,,,,YES,YES,,,YES,,1,1,YES,,,YES,,,,,YES,,Rural,,YES,,YES,"https://www.google.com/maps/@40.84780,-81.76050,400m/data=!3m1!1e3"
Jif Peanut Butter - Lexington KY,Manufacturing - Peanut butter (Jif),#9,Gate + No GS (remote check-in),,,,,,,,,,,YES,,YES,,,,YES,YES,YES,,1,1,,,,YES,,,,,YES,,Urban,,YES,,YES,"https://www.google.com/maps/@38.04280,-84.47780,400m/data=!3m1!1e3"
Smucker's Peanut Butter - New Bethlehem PA,Manufacturing - Peanut butter / spreads,#3,No Gate / No GS,,,,,,,,,,,,,,,,,YES,YES,YES,,1,1,,YES,,,,YES,,,,,Rural,,,,,"https://www.google.com/maps/@41.00290,-79.32600,400m/data=!3m1!1e3"
R.W. Knudsen Juices - Chico CA,Manufacturing - Juices/beverages (Knudsen),#3,No Gate / No GS,,,,,,,,,,,,,,,YES,YES,,,YES,,1,1,YES,,YES,,,,,YES,,,Rural,,YES,,YES,"https://www.google.com/maps/@39.70670,-121.80250,400m/data=!3m1!1e3"
Smucker Plant - Salinas CA,Manufacturing - Fruit/produce processing,#3,No Gate / No GS,,,,,,,,,,,,,,,YES,,YES,,YES,,1,1,,,,YES,,,YES,,,,Urban,,YES,,YES,"https://www.google.com/maps/@36.65760,-121.62480,400m/data=!3m1!1e3"
Smucker Plant - Havre de Grace MD,Manufacturing - Spreads / portion control products,#3,No Gate / No GS,,,,,,,,,,,,,,,,,YES,,YES,,1,1,,YES,,,,YES,,,,,Rural,,,,,"https://www.google.com/maps/@39.530705,-76.108505,400m/data=!3m1!1e3"
