,,,,,,,,,Connectivity,Shipment,Shifts per,Guards per,DCs per,,,,Staging Area,,Driveway,,Backup,Entry/Exit,,,,Fast Lane,Dock Doors,,,,Drop Area,,,,Ship/Rcv,Urban /,Potential,Multiple,,Remote,
Name,Type,Archetype,Archetype Name,,WMS,TMS,YMS,EBOL,Available,Volume,Day,Shift,Shift,Truck Gate?,Guard Shack?,Remote GS?,Pre-Gate,Post-Gate,Long (3+),Short (1-2 trucks),Sensitive?,Together,Separate,Entry Lanes,Exit Lanes,Opportunity?,0-10,10-25,25-50,50+,0-10,10-25,25-50,50+,Separate?,Rural,Connectivity Issue?,Facilities?,Scale,Drop Yard,
John Deere Waterloo Works - Tractor Operations - Waterloo IA,Assembly Plant,#6,Gate + GS (not BU sens.) + campus,,,,,,,,,,,YES,YES,,YES,YES,YES,,,,YES,2,2,YES,,,YES,,,,,YES,YES,Rural,,YES,,YES,"https://www.google.com/maps/@42.5210,-92.2695,400m/data=!3m1!1e3"
John Deere Waterloo Works - Engine Works - Waterloo IA,Engine Plant,#9,Gate + No GS (remote check-in),,,,,,,,,,,YES,,YES,,YES,YES,,,YES,,1,1,YES,,YES,,,YES,,,,,Rural,,,,,"https://www.google.com/maps/@42.4678,-92.4330,400m/data=!3m1!1e3"
John Deere Waterloo Works - Drivetrain Operations - Waterloo IA,Component Plant,#9,Gate + No GS (remote check-in),,,,,,,,,,,YES,,YES,,YES,,YES,,YES,,1,1,,,YES,,,,YES,,,,Urban,,YES,,,"https://www.google.com/maps/@42.5025,-92.3535,400m/data=!3m1!1e3"
John Deere Waterloo Foundry - Waterloo IA,Foundry,#6,Gate + GS (not BU sens.) + campus,,,,,,,,,,,YES,YES,,,YES,YES,,,YES,,2,2,YES,,YES,,,YES,,,,,Urban,,YES,,YES,"https://www.google.com/maps/@42.5072,-92.3650,400m/data=!3m1!1e3"
John Deere Harvester Works - East Moline IL,Assembly Plant,#6,Gate + GS (not BU sens.) + campus,,,,,,,,,,,YES,YES,,YES,YES,YES,,,,YES,2,2,YES,,,YES,,,,,YES,YES,Urban,,YES,,YES,"https://www.google.com/maps/@41.5240,-90.4360,400m/data=!3m1!1e3"
John Deere Cylinder Works - Moline IL,Component Plant,#3,No Gate / No GS,,,,,,,,,,,,,,,,YES,,,,,,,YES,,YES,,,,YES,,,,Urban,,YES,,YES,"https://www.google.com/maps/@41.508049,-90.52593,400m/data=!3m1!1e3"
John Deere Seeding Group / Planter Works - Moline IL,Assembly Plant,#3,No Gate / No GS,,,,,,,,,,,,,,,YES,YES,,,,,,,YES,,YES,,,,YES,,,,Urban,,YES,,YES,"https://www.google.com/maps/@41.50849,-90.531986,400m/data=!3m1!1e3"
John Deere Davenport Works - Davenport IA,Assembly Plant,#9,Gate + No GS (remote check-in),,,,,,,,,,,YES,,YES,,YES,YES,,,YES,,2,2,YES,,YES,,,,,YES,,,Rural,,YES,,YES,"https://www.google.com/maps/@41.601800,-90.551500,400m/data=!3m1!1e3"
John Deere Dubuque Works - Dubuque IA,Assembly Plant,#9,Gate + No GS (remote check-in),,,,,,,,,,,YES,,YES,,YES,YES,,,,YES,2,2,YES,,,YES,,,,,YES,YES,Rural,,YES,,YES,"https://www.google.com/maps/@42.566837,-90.690881,400m/data=!3m1!1e3"
John Deere Des Moines Works - Ankeny IA,Assembly Plant,#6,Gate + GS (not BU sens.) + campus,,,,,,,,,,,YES,YES,,,YES,YES,,,,YES,2,2,YES,,,YES,,,,,YES,YES,Urban,,YES,,YES,"https://www.google.com/maps/@41.720916,-93.62938,400m/data=!3m1!1e3"
