,,,,,,,,,Connectivity,Shipment,Shifts per,Guards per,DCs per,,,,Staging Area,,Driveway,,Backup,Entry/Exit,,,,Fast Lane,Dock Doors,,,,Drop Area,,,,Ship/Rcv,Urban /,Potential,Multiple,,Remote,
Name,Type,Archetype,Archetype Name,,WMS,TMS,YMS,EBOL,Available,Volume,Day,Shift,Shift,Truck Gate?,Guard Shack?,Remote GS?,Pre-Gate,Post-Gate,Long (3+),Short (1-2 trucks),Sensitive?,Together,Separate,Entry Lanes,Exit Lanes,Opportunity?,0-10,10-25,25-50,50+,0-10,10-25,25-50,50+,Separate?,Rural,Connectivity Issue?,Facilities?,Scale,Drop Yard,
Kenco MCS Jeffersonville I - Jeffersonville IN,Multi-Client Distribution Center / E-Commerce Fulfillment,#9,Gate + No GS (remote check-in),,,,,,,,,,,YES,,YES,,YES,YES,,,YES,,1,1,YES,,,,YES,,,YES,,YES,Rural,,,,YES,"https://www.google.com/maps/@38.38585,-85.67760,400m/data=!3m1!1e3"
Kenco MCS Mississippi - Olive Branch MS,Multi-Client Distribution Center,#3,No Gate / No GS,,,,,,,,,,,,,,,,YES,,,,,,,,,,,YES,,,,YES,YES,Rural,,,,YES,"https://www.google.com/maps/@34.98890,-89.78290,400m/data=!3m1!1e3"
Kenco MCS Allentown - Northampton PA,Multi-Client Distribution Center,#3,No Gate / No GS,,,,,,,,,,,,,,,,YES,,,YES,,1,1,,,YES,,,YES,,,,,Rural,,,,,"https://www.google.com/maps/@40.59820,-75.61650,400m/data=!3m1!1e3"
Kenco MCS Dallas I - DeSoto TX,Multi-Client Distribution Center / E-Commerce Fulfillment,#10,Ship/Rcv Separate (Gate+GS),,,,,,,,,,,YES,YES,,YES,YES,YES,,,YES,,1,1,YES,,,,YES,,,,YES,YES,Urban,,,,YES,"https://www.google.com/maps/@32.63200,-96.82960,400m/data=!3m1!1e3"
Kenco MCS Perris I - Perris CA,Multi-Client Distribution Center / E-Commerce Fulfillment,#9,Gate + No GS (remote check-in),,,,,,,,,,,YES,,YES,,YES,YES,,,YES,,1,1,YES,,,,YES,,,,YES,YES,Urban,,,,YES,"https://www.google.com/maps/@33.84200,-117.22890,400m/data=!3m1!1e3"
Kenco MCS Perris II - Perris CA,Multi-Client Distribution Center / E-Commerce Fulfillment,#9,Gate + No GS (remote check-in),,,,,,,,,,,YES,,YES,,YES,YES,,,YES,,1,1,YES,,,,YES,,,,YES,YES,Urban,,YES,,YES,"https://www.google.com/maps/@33.83915,-117.23035,400m/data=!3m1!1e3"
Kenco MCS Chino - Chino CA,Multi-Client Distribution Center,#9,Gate + No GS (remote check-in),,,,,,,,,,,YES,,YES,,YES,YES,,,YES,,1,1,YES,,,,YES,,,YES,,YES,Urban,,,,YES,"https://www.google.com/maps/@33.96700,-117.66150,400m/data=!3m1!1e3"
Kenco MCS Georgia I - Austell GA,Multi-Client Distribution Center,#3,No Gate / No GS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Urban,,,,,"https://www.google.com/maps/@33.777949,-84.574624,400m/data=!3m1!1e3"
Kenco MCS Georgia II - Austell GA,Multi-Client Distribution Center,#3,No Gate / No GS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Urban,,,,,"https://www.google.com/maps/@33.777949,-84.574624,400m/data=!3m1!1e3"
