,,,,,,,,,Connectivity,Shipment,Shifts per,Guards per,DCs per,,,,Staging Area,,Driveway,,Backup,Entry/Exit,,,,Fast Lane,Dock Doors,,,,Drop Area,,,,Ship/Rcv,Urban /,Potential,Multiple,,Remote,
Name,Type,Archetype,Archetype Name,,WMS,TMS,YMS,EBOL,Available,Volume,Day,Shift,Shift,Truck Gate?,Guard Shack?,Remote GS?,Pre-Gate,Post-Gate,Long (3+),Short (1-2 trucks),Sensitive?,Together,Separate,Entry Lanes,Exit Lanes,Opportunity?,0-10,10-25,25-50,50+,0-10,10-25,25-50,50+,Separate?,Rural,Connectivity Issue?,Facilities?,Scale,Drop Yard,
KDP Coffee Roasting & K-Cup Plant - Spartanburg (Moore) SC,Manufacturing - Coffee/K-Cup,#3,No Gate / No GS,,,,,,,,,,,,,,,,YES,,,YES,,1,1,YES,,,YES,,YES,,,,,Rural,,,,,"https://www.google.com/maps/@34.870100,-82.032100,400m/data=!3m1!1e3"
KDP K-Cup Plant - Essex Junction VT,Manufacturing - Coffee/K-Cup,#3,No Gate / No GS,,,,,,,,,,,,,,,YES,YES,,,YES,,1,1,YES,,,YES,,,,YES,,YES,Urban,,YES,,YES,"https://www.google.com/maps/@44.513632,-73.136469,400m/data=!3m1!1e3"
KDP Coffee Plant - Waterbury VT,Manufacturing - Coffee,#3,No Gate / No GS,,,,,,,,,,,,,,,,,YES,,YES,,1,1,,YES,,,,,,,,,Rural,,YES,,,"https://www.google.com/maps/@44.335800,-72.750500,400m/data=!3m1!1e3"
KDP Beverage Manufacturing & Distribution - Allentown PA,Manufacturing & Distribution - Beverage,#3,No Gate / No GS,,,,,,,,,,,,,,,YES,YES,,,,YES,1,1,YES,,,,YES,,,,YES,YES,Urban,,YES,,YES,"https://www.google.com/maps/@40.572414,-75.605843,400m/data=!3m1!1e3"
KDP Beverage Plant - Victorville CA,Manufacturing - Beverage,#10,Ship/Rcv Separate (Gate+GS),,,,,,,,,,,YES,YES,,,YES,YES,,,YES,,1,1,YES,,,,YES,,,,YES,YES,Rural,,,,YES,"https://www.google.com/maps/@34.584000,-117.395500,400m/data=!3m1!1e3"
KDP Mott's Plant - Williamson NY,Manufacturing - Juice/Applesauce,#3,No Gate / No GS,,,,,,,,,,,,,,,YES,YES,,,YES,,1,1,YES,,,YES,,,,,YES,YES,Rural,,YES,,YES,"https://www.google.com/maps/@43.236600,-77.175500,400m/data=!3m1!1e3"
KDP Mott's Plant - Aspers PA,Manufacturing - Juice/Applesauce,#3,No Gate / No GS,,,,,,,,,,,,,,,YES,YES,,,YES,,2,2,YES,,,YES,,,,,YES,,Rural,,YES,,YES,"https://www.google.com/maps/@39.975785,-77.220423,400m/data=!3m1!1e3"
KDP Beverage Plant - Houston TX,Manufacturing - Beverage,#9,Gate + No GS (remote check-in),,,,,,,,,,,YES,,YES,,YES,,YES,YES,YES,,1,1,,,,YES,,,,,YES,,Urban,,,,YES,"https://www.google.com/maps/@29.683800,-95.394000,400m/data=!3m1!1e3"
KDP Beverage Plant - Northlake IL,Manufacturing - Beverage,#3,No Gate / No GS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Urban,,,,,"https://www.google.com/maps/@41.918007,-87.903662,400m/data=!3m1!1e3"
