,,,,,,,,,Connectivity,Shipment,Shifts per,Guards per,DCs per,,,,Staging Area,,Driveway,,Backup,Entry/Exit,,,,Fast Lane,Dock Doors,,,,Drop Area,,,,Ship/Rcv,Urban /,Potential,Multiple,,Remote,
Name,Type,Archetype,Archetype Name,,WMS,TMS,YMS,EBOL,Available,Volume,Day,Shift,Shift,Truck Gate?,Guard Shack?,Remote GS?,Pre-Gate,Post-Gate,Long (3+),Short (1-2 trucks),Sensitive?,Together,Separate,Entry Lanes,Exit Lanes,Opportunity?,0-10,10-25,25-50,50+,0-10,10-25,25-50,50+,Separate?,Rural,Connectivity Issue?,Facilities?,Scale,Drop Yard,
Nabisco Richmond Biscuit Bakery - Richmond VA,Manufacturing - biscuit/cookie bakery,#6,Gate + GS (not BU sens.) + campus,,,,,,,,,,,YES,YES,,,YES,YES,,,YES,,1,1,YES,,,YES,,,,,YES,,Urban,,YES,,YES,"https://www.google.com/maps/@37.49600,-77.35400,400m/data=!3m1!1e3"
Nabisco Chicago Bakery - Chicago IL,Manufacturing - biscuit/cracker bakery,#4,Gate + GS (BU sens.),,,,,,,,,,,YES,YES,,,YES,,YES,YES,YES,,1,1,,,,,YES,,,,YES,YES,Urban,,,,YES,"https://www.google.com/maps/@41.75880,-87.70650,400m/data=!3m1!1e3"
Nabisco Portland Bakery - Portland OR,Manufacturing - biscuit/cookie bakery,#3,No Gate / No GS,,,,,,,,,,,,,,,YES,,YES,,YES,,1,1,,,YES,,,,YES,,,YES,Urban,,YES,,YES,"https://www.google.com/maps/@45.58110,-122.66520,400m/data=!3m1!1e3"
Nabisco Naperville Bakery - Naperville IL,Manufacturing - cracker bakery,#6,Gate + GS (not BU sens.) + campus,,,,,,,,,,,YES,YES,,,YES,YES,,,YES,,1,1,YES,,,YES,,,,,YES,YES,Urban,,YES,,YES,"https://www.google.com/maps/@41.77140,-88.18800,400m/data=!3m1!1e3"
Clif Bar Baking Co. of Indianapolis - Indianapolis IN,Manufacturing - energy/nutrition bar bakery,#3,No Gate / No GS,,,,,,,,,,,,,,,YES,,YES,,YES,,1,1,,,YES,,,,YES,,,,Urban,,,,YES,"https://www.google.com/maps/@39.88865,-86.24100,400m/data=!3m1!1e3"
Tate's Bake Shop Factory - East Moriches NY,Manufacturing - cookie bakery,#3,No Gate / No GS,,,,,,,,,,,,,,,,,YES,YES,YES,,1,1,,YES,,,,YES,,,,,Rural,,,,,"https://www.google.com/maps/@40.81055,-72.76535,400m/data=!3m1!1e3"
Mondelez Richmond Distribution Center - Sandston VA,"Distribution center (3PL-operated, Kenco)",#3,No Gate / No GS,,,,,,,,,,,,,,,YES,YES,,,YES,,2,2,YES,,,,YES,,,,YES,YES,Rural,,,,YES,"https://www.google.com/maps/@37.47980,-77.33820,400m/data=!3m1!1e3"
Mondelez Montgomery Sales Distribution Center - Montgomery NY,Distribution center / sales warehouse,#3,No Gate / No GS,,,,,,,,,,,,,,,YES,YES,,,,YES,1,1,YES,,YES,,,,,YES,,,Rural,,,,YES,"https://www.google.com/maps/@41.49400,-74.22360,400m/data=!3m1!1e3"
Nabisco Norcross Distribution Center - Norcross GA,Distribution center,#3,No Gate / No GS,,,,,,,,,,,,,,,YES,,YES,,YES,,1,1,,,YES,,,YES,,,,,Urban,,,,,"https://www.google.com/maps/@33.92175,-84.21810,400m/data=!3m1!1e3"
