,,,,,,,,,Connectivity,Shipment,Shifts per,Guards per,DCs per,,,,Staging Area,,Driveway,,Backup,Entry/Exit,,,,Fast Lane,Dock Doors,,,,Drop Area,,,,Ship/Rcv,Urban /,Potential,Multiple,,Remote,
Name,Type,Archetype,Archetype Name,,WMS,TMS,YMS,EBOL,Available,Volume,Day,Shift,Shift,Truck Gate?,Guard Shack?,Remote GS?,Pre-Gate,Post-Gate,Long (3+),Short (1-2 trucks),Sensitive?,Together,Separate,Entry Lanes,Exit Lanes,Opportunity?,0-10,10-25,25-50,50+,0-10,10-25,25-50,50+,Separate?,Rural,Connectivity Issue?,Facilities?,Scale,Drop Yard,
Niagara Bottling - Ontario CA,Bottling / Manufacturing Plant,#9,Gate + No GS (remote check-in),,,,,,,,,,,YES,,YES,,,,YES,,YES,,1,1,,,YES,,,,,,,,Urban,,,,,"https://www.google.com/maps/@34.07480,-117.53200,400m/data=!3m1!1e3"
Niagara Bottling - Rialto CA,Bottling / Manufacturing Plant,#1,Gate + GS (not BU sens.),,,,,,,,,,,YES,YES,,,YES,YES,,,YES,,1,1,,,,YES,,,,,YES,,Urban,,,,YES,"https://www.google.com/maps/@34.12940,-117.41630,400m/data=!3m1!1e3"
Niagara Bottling - Stockton CA (Arch Rd),Bottling / Manufacturing Plant,#9,Gate + No GS (remote check-in),,,,,,,,,,,YES,,YES,,YES,YES,,,YES,,1,1,YES,,,YES,,,,,YES,,Urban,,,,YES,"https://www.google.com/maps/@37.90620,-121.19720,400m/data=!3m1!1e3"
Niagara Bottling - Mesa AZ,Bottling / Manufacturing Plant,#7,Gate + GS (not BU sens.) + fast lane opp,,,,,,,,,,,YES,YES,,,YES,YES,,,YES,,1,1,YES,,,,YES,,,YES,,,Rural,,,,YES,"https://www.google.com/maps/@33.35260,-111.62580,400m/data=!3m1!1e3"
Niagara Bottling - Phoenix AZ,Bottling / Manufacturing Plant,#9,Gate + No GS (remote check-in),,,,,,,,,,,YES,,YES,,YES,YES,,,YES,,1,1,,,,,YES,,,,YES,YES,Urban,,YES,,YES,"https://www.google.com/maps/@33.44700,-112.20170,400m/data=!3m1!1e3"
Niagara Bottling - Los Lunas NM,Bottling / Manufacturing Plant,#9,Gate + No GS (remote check-in),,,,,,,,,,,YES,,YES,,YES,YES,,,YES,,1,1,YES,,YES,,,,,YES,,,Rural,,,,YES,"https://www.google.com/maps/@34.827861,-106.760900,400m/data=!3m1!1e3"
Niagara Bottling - North Las Vegas NV,Bottling / Manufacturing Plant,#9,Gate + No GS (remote check-in),,,,,,,,,,,YES,,YES,,YES,YES,,,,YES,1,3,YES,,,YES,,,,YES,,,Urban,,,,YES,"https://www.google.com/maps/@36.263400,-115.030700,400m/data=!3m1!1e3"
Niagara Bottling - Aurora CO,Bottling / Manufacturing Plant,#9,Gate + No GS (remote check-in),,,,,,,,,,,YES,,YES,,YES,YES,,,YES,,1,1,YES,,,YES,,,,YES,,,Urban,,,,YES,"https://www.google.com/maps/@39.745400,-104.708550,400m/data=!3m1!1e3"
Niagara Bottling - Brigham City UT,Bottling / Manufacturing Plant,#9,Gate + No GS (remote check-in),,,,,,,,,,,YES,,YES,,YES,YES,,,YES,,1,1,YES,,,YES,,,,YES,,,Rural,,,,YES,"https://www.google.com/maps/@41.511870,-112.042220,400m/data=!3m1!1e3"
Niagara Bottling - Puyallup (Frederickson) WA,Bottling / Manufacturing Plant,#9,Gate + No GS (remote check-in),,,,,,,,,,,YES,,YES,,YES,YES,,,YES,,1,1,YES,,,YES,,,,YES,,YES,Urban,,,,YES,"https://www.google.com/maps/@47.076030,-122.355800,400m/data=!3m1!1e3"
Niagara Bottling - Kansas City MO (149th St),Bottling / Manufacturing Plant,#3,No Gate / No GS,,,,,,,,,,,,,,,YES,YES,,,YES,,1,1,YES,,,,YES,,,YES,,YES,Urban,,,,YES,"https://www.google.com/maps/@38.85290,-94.55370,400m/data=!3m1!1e3"
Niagara Bottling - Kansas City MO (Airworld Dr),Bottling / Manufacturing Plant,#3,No Gate / No GS,,,,,,,,,,,,,,,YES,YES,,,YES,,1,1,YES,,,,YES,,,,YES,,Rural,,,,YES,"https://www.google.com/maps/@39.30040,-94.67520,400m/data=!3m1!1e3"
Niagara Bottling - Jeffersonville IN,Bottling / Manufacturing Plant,#3,No Gate / No GS,,,,,,,,,,,,,,,YES,YES,,,YES,,1,1,YES,,,,YES,,,,YES,,Rural,,,,YES,"https://www.google.com/maps/@38.37990,-85.67500,400m/data=!3m1!1e3"
Niagara Bottling - Plainfield IN,Bottling / Manufacturing Plant,#9,Gate + No GS (remote check-in),,,,,,,,,,,YES,,YES,,YES,YES,,,YES,,1,1,YES,,,,YES,,,YES,,,Rural,,,,YES,"https://www.google.com/maps/@39.68500,-86.34900,400m/data=!3m1!1e3"
Niagara Bottling - Byhalia MS,Bottling / Manufacturing Plant,#9,Gate + No GS (remote check-in),,,,,,,,,,,YES,,YES,,YES,YES,,,YES,,1,1,YES,,,,YES,,,,YES,YES,Rural,,,,YES,"https://www.google.com/maps/@34.97800,-89.60680,400m/data=!3m1!1e3"
