,,,,,,,,,Connectivity,Shipment,Shifts per,Guards per,DCs per,,,,Staging Area,,Driveway,,Backup,Entry/Exit,,,,Fast Lane,Dock Doors,,,,Drop Area,,,,Ship/Rcv,Urban /,Potential,Multiple,,Remote,
Name,Type,Archetype,Archetype Name,,WMS,TMS,YMS,EBOL,Available,Volume,Day,Shift,Shift,Truck Gate?,Guard Shack?,Remote GS?,Pre-Gate,Post-Gate,Long (3+),Short (1-2 trucks),Sensitive?,Together,Separate,Entry Lanes,Exit Lanes,Opportunity?,0-10,10-25,25-50,50+,0-10,10-25,25-50,50+,Separate?,Rural,Connectivity Issue?,Facilities?,Scale,Drop Yard,
Cheney Brothers - Florence SC (new cold DC),Refrigerated/Freezer Distribution Center,#3,No Gate / No GS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rural,,,,,"https://www.google.com/maps/@34.271014,-79.694676,400m/data=!3m1!1e3"
Performance Foodservice - Florence SC (legacy DC),Broadline Foodservice Distribution Center,#9,Gate + No GS (remote check-in),,,,,,,,,,,YES,,YES,,YES,YES,,,YES,,1,1,YES,,,,YES,,,YES,,,Rural,,,,YES,"https://www.google.com/maps/@34.26505,-79.69285,400m/data=!3m1!1e3"
Performance Foodservice - Gilroy CA,Broadline Foodservice Distribution Center,#9,Gate + No GS (remote check-in),,,,,,,,,,,YES,,YES,,YES,YES,,,YES,,1,1,YES,,,YES,,,,YES,,,Rural,,,,YES,"https://www.google.com/maps/@36.98045,-121.5543,400m/data=!3m1!1e3"
Performance Foodservice - Metro NY (Elizabeth NJ),Broadline Foodservice Distribution Center,#9,Gate + No GS (remote check-in),,,,,,,,,,,YES,,YES,,YES,YES,,YES,YES,,1,1,,,,YES,,,,,YES,,Urban,,,,YES,"https://www.google.com/maps/@40.67085,-74.17055,400m/data=!3m1!1e3"
Performance Foodservice - Southern California (City of Industry),Broadline Foodservice Distribution Center,#9,Gate + No GS (remote check-in),,,,,,,,,,,YES,,YES,,YES,YES,,,YES,,1,1,,,,,YES,,,YES,,,Urban,,,,YES,"https://www.google.com/maps/@34.00485,-117.9416,400m/data=!3m1!1e3"
Performance Foodservice - Chicago (Montgomery IL),Broadline Foodservice Distribution Center,#3,No Gate / No GS,,,,,,,,,,,,,,,YES,YES,,,YES,,1,1,,,,YES,,,YES,,,,Urban,,,,,"https://www.google.com/maps/@41.7214,-88.3585,400m/data=!3m1!1e3"
Performance Foodservice - Boston (Taunton MA),Broadline Foodservice Distribution Center,#3,No Gate / No GS,,,,,,,,,,,,,,,YES,YES,,,YES,,1,1,,,,,YES,,,,YES,,Rural,,,,YES,"https://www.google.com/maps/@41.9433,-71.137,400m/data=!3m1!1e3"
Performance Foodservice - Atlanta (Oakwood GA),Broadline Foodservice Distribution Center,#3,No Gate / No GS,,,,,,,,,,,,,,,YES,YES,,,YES,,1,1,,,,,YES,,,,YES,YES,Rural,,YES,,YES,"https://www.google.com/maps/@34.2384,-83.873,400m/data=!3m1!1e3"
Performance Foodservice - Dallas Fort Worth (Fort Worth TX),Broadline Foodservice Distribution Center,#9,Gate + No GS (remote check-in),,,,,,,,,,,YES,,YES,,YES,YES,,,YES,,1,1,,,,,YES,,,,,,Rural,,,,,"https://www.google.com/maps/@32.767167,-97.265073,400m/data=!3m1!1e3"
