,,,,,,,,,Connectivity,Shipment,Shifts per,Guards per,DCs per,,,,Staging Area,,Driveway,,Backup,Entry/Exit,,,,Fast Lane,Dock Doors,,,,Drop Area,,,,Ship/Rcv,Urban /,Potential,Multiple,,Remote,
Name,Type,Archetype,Archetype Name,,WMS,TMS,YMS,EBOL,Available,Volume,Day,Shift,Shift,Truck Gate?,Guard Shack?,Remote GS?,Pre-Gate,Post-Gate,Long (3+),Short (1-2 trucks),Sensitive?,Together,Separate,Entry Lanes,Exit Lanes,Opportunity?,0-10,10-25,25-50,50+,0-10,10-25,25-50,50+,Separate?,Rural,Connectivity Issue?,Facilities?,Scale,Drop Yard,
US PL Ontario Factory,Bottling plant (PL),#9,Gate + No GS (remote check-in),,,,,,,,,,,YES,,YES,,YES,YES,,,YES,,1,1,,YES,,,,YES,,,,,Urban,,,,,"https://www.google.com/maps/@34.03635,-117.5914,400m/data=!3m1!1e3"
CA PL Guelph Factory,Bottling plant (PL),#3,No Gate / No GS,,,,,,,,,,,,,,,YES,YES,,,YES,,,,,,YES,,,,,,,,Rural,,,,,"https://www.google.com/maps/@43.46345,-80.14885,400m/data=!3m1!1e3"
CA PL Hope Factory,Bottling plant (PL),#3,No Gate / No GS,,,,,,,,,,,,,,,YES,YES,,,YES,,1,1,,,YES,,,,YES,,,,Rural,YES,,,YES,"https://www.google.com/maps/@49.38515,-121.38215,400m/data=!3m1!1e3"
US PL Allentown Factory,Bottling plant (PL),#6,Gate + GS (not BU sens.) + campus,,,,,,,,,,,YES,YES,,,YES,YES,,,YES,,2,1,YES,,,,YES,,,,YES,YES,Rural,,YES,,YES,"https://www.google.com/maps/@40.57450,-75.62930,400m/data=!3m1!1e3"
US PL Cabazon Factory,Bottling plant (PL),#3,No Gate / No GS,,,,,,,,,,,,,,,YES,YES,,,YES,,1,1,YES,,,,YES,,,,YES,,Rural,YES,,,YES,"https://www.google.com/maps/@33.91330,-116.75170,400m/data=!3m1!1e3"
US PL Hawkins Factory,Bottling plant (PL),#3,No Gate / No GS,,,,,,,,,,,,,,,YES,YES,,,YES,,1,1,YES,,,,YES,,,,YES,YES,Rural,YES,,,YES,"https://www.google.com/maps/@32.66655,-95.19120,400m/data=!3m1!1e3"
US PL Hollis Factory,Bottling plant (PL),#3,No Gate / No GS,,,,,,,,,,,,,,,YES,YES,,,YES,,2,1,YES,,,,YES,,,,YES,,Rural,,,,YES,"https://www.google.com/maps/@43.67630,-70.64190,400m/data=!3m1!1e3"
US PL Madison Factory,Bottling plant (PL),#9,Gate + No GS (remote check-in),,,,,,,,,,,YES,,YES,,YES,YES,,,YES,,1,1,YES,,,,YES,,,,YES,YES,Rural,YES,,,YES,"https://www.google.com/maps/@30.47115,-83.25060,400m/data=!3m1!1e3"
US PL Mecosta Factory,Bottling plant (PL),#9,Gate + No GS (remote check-in),,,,,,,,,,,YES,,YES,,YES,YES,,,YES,,1,1,,,,,YES,,,,YES,YES,Rural,,,,YES,"https://www.google.com/maps/@43.58110,-85.46640,400m/data=!3m1!1e3"
US PL Poland Spring Factory,Bottling plant (PL),#1,Gate + GS (not BU sens.),,,,,,,,,,,YES,YES,,,YES,YES,,,YES,,1,1,,,,,YES,,,,YES,,Rural,YES,,,YES,"https://www.google.com/maps/@44.03205,-70.35350,400m/data=!3m1!1e3"
US PL Zephyrhills Factory,Bottling plant (PL),#9,Gate + No GS (remote check-in),,,,,,,,,,,YES,,YES,,YES,YES,,,YES,,1,1,,,,,YES,,,,YES,YES,Urban,,,,YES,"https://www.google.com/maps/@28.22150,-82.16880,400m/data=!3m1!1e3"
US PL Allentown NPL Factory,Bottling plant (PL),#3,No Gate / No GS,,,,,,,,,,,,,,,YES,YES,,,YES,,1,1,,,,,YES,,,YES,,YES,Rural,,,,YES,"https://www.google.com/maps/@40.57300,-75.63140,400m/data=!3m1!1e3"
US PL Dallas 2 Factory,Bottling plant (PL),#3,No Gate / No GS,,,,,,,,,,,,,,,YES,YES,,,YES,,1,1,,,,YES,,,,,YES,,Urban,,,,YES,"https://www.google.com/maps/@32.68550,-96.96150,400m/data=!3m1!1e3"
US PL Kingfield Factory,Bottling plant (PL),#3,No Gate / No GS,,,,,,,,,,,,,,,YES,YES,,,YES,,1,1,,,,YES,,,,,YES,,Rural,YES,,,YES,"https://www.google.com/maps/@44.94470,-70.15770,400m/data=!3m1!1e3"
US PL Denver Factory,Bottling plant (PL),#9,Gate + No GS (remote check-in),,,,,,,,,,,YES,,YES,,YES,YES,,,,YES,1,1,YES,,,,YES,,,YES,,YES,Urban,,,,YES,"https://www.google.com/maps/@39.7806,-104.8527,400m/data=!3m1!1e3"
US PL Greenwood Indiana,Bottling plant (PL),#3,No Gate / No GS,,,,,,,,,,,,,,,YES,YES,,,,YES,1,1,,,,,YES,,YES,,,YES,Urban,,,,,"https://www.google.com/maps/@39.62550,-86.06120,400m/data=!3m1!1e3"
US PL McBee Factory,Bottling plant (PL),#9,Gate + No GS (remote check-in),,,,,,,,,,,YES,,YES,,YES,YES,,,YES,,1,1,YES,,,YES,,,,,YES,,Rural,YES,,,YES,"https://www.google.com/maps/@34.46378,-80.23403,400m/data=!3m1!1e3"
US PL Sacramento Factory,Bottling plant (PL),#9,Gate + No GS (remote check-in),,,,,,,,,,,YES,,YES,,YES,YES,,,YES,,1,1,,,,YES,,,YES,,,YES,Urban,,,,YES,"https://www.google.com/maps/@38.51615,-121.38055,400m/data=!3m1!1e3"
US PL Pasadena Factory,Bottling plant (PL),#3,No Gate / No GS,,,,,,,,,,,,,,,YES,YES,,,,YES,1,1,YES,,,YES,,,YES,,,YES,Urban,,,,YES,"https://www.google.com/maps/@29.71020,-95.17450,400m/data=!3m1!1e3"
US PL High Springs Factory,Bottling plant (PL),#9,Gate + No GS (remote check-in),,,,,,,,,,,YES,,YES,,YES,YES,,,YES,,2,1,YES,,,,YES,,,,YES,YES,Rural,YES,,,YES,"https://www.google.com/maps/@29.81830,-82.68970,400m/data=!3m1!1e3"
CA DC Chilliwack Whse,DC/Warehouse,#3,No Gate / No GS,,,,,,,,,,,,,,,YES,YES,,,,YES,1,1,,,YES,,,,YES,,,,Rural,,YES,,YES,"https://www.google.com/maps/@49.11795,-121.99110,400m/data=!3m1!1e3"
US DC NFI - Breinigsville,DC/Warehouse,#10,Ship/Rcv Separate (Gate+GS),,,,,,,,,,,YES,YES,,YES,YES,YES,,,,YES,1,1,YES,,,,YES,,,,YES,YES,Rural,,,,YES,"https://www.google.com/maps/@40.57480,-75.63780,400m/data=!3m1!1e3"
US PL Framingham Factory,Bottling plant (PL),#9,Gate + No GS (remote check-in),,,,,,,,,,,YES,,YES,,YES,,YES,,YES,,1,1,,,YES,,,,,YES,,,Urban,,,,YES,"https://www.google.com/maps/@42.29965,-71.47905,400m/data=!3m1!1e3"
US PL Livermore Factory,Bottling plant (PL),#9,Gate + No GS (remote check-in),,,,,,,,,,,YES,,YES,,YES,,YES,,YES,,1,1,,YES,,,,,YES,,,,Urban,,,,YES,"https://www.google.com/maps/@37.71185,-121.70330,400m/data=!3m1!1e3"
US PL Los Angeles Factory,Bottling plant (PL),#9,Gate + No GS (remote check-in),,,,,,,,,,,YES,,YES,,YES,,YES,YES,YES,,1,1,,,YES,,,,YES,,,,Urban,,YES,,YES,"https://www.google.com/maps/@34.02055,-118.24499,400m/data=!3m1!1e3"
US PL S Houston Factory,Bottling plant (PL),#9,Gate + No GS (remote check-in),,,,,,,,,,,YES,,YES,,YES,,YES,,YES,,1,1,,,YES,,,,YES,,,,Urban,,,,YES,"https://www.google.com/maps/@29.66880,-95.40480,400m/data=!3m1!1e3"
US PL Woodridge Factory,Bottling plant (PL),#3,No Gate / No GS,,,,,,,,,,,,,,,YES,YES,,,YES,,1,1,,,YES,,,,YES,,,,Urban,,YES,,YES,"https://www.google.com/maps/@41.69905,-88.00875,400m/data=!3m1!1e3"
US PL Jersey City Factory,Bottling plant (PL),#9,Gate + No GS (remote check-in),,,,,,,,,,,YES,,YES,,YES,,YES,YES,YES,,1,1,,,YES,,,,YES,,,,Urban,,,,YES,"https://www.google.com/maps/@40.70050,-74.05950,400m/data=!3m1!1e3"
US PL Hot Springs Factory,Bottling plant (PL),#3,No Gate / No GS,,,,,,,,,,,,,,,YES,YES,,,YES,,1,1,,,YES,,,,YES,,,YES,Rural,YES,,,YES,"https://www.google.com/maps/@34.63215,-93.0693,400m/data=!3m1!1e3"
US DC Hot Springs (WHSE),DC/Warehouse,#3,No Gate / No GS,,,,,,,,,,,,,,,YES,YES,,,YES,,1,1,,,YES,,,YES,,,,,Rural,,YES,,,"https://www.google.com/maps/@34.51570,-93.12380,400m/data=!3m1!1e3"
