#,Site,Location,Type,Scope,Operational?,Gated?,Dock Doors (#),Yard Spots (#),Site Acres,Rail Served?,Confidence,Notes
1,US PL Ontario Factory,"Ontario, CA",Bottling plant,BT-active,Yes,Yes,10,15,11.0,No,medium,"Confirmed via web search (LoopNet APN 0238-133-12, Rexford Industrial property page, Waze 'Arrowhead Bottling Plant') as the Primo Brands / BlueTriton (formerly Nestle Waters /..."
2,CA PL Guelph Factory,"Guelph, ON",Bottling plant,BT-active,Yes,No,16,60,11.9,No,medium,"Former Nestle Waters Canada plant; reported CLOSED Jan 2025, yard reads empty."
3,CA PL Hope Factory,"Hope, BC",Bottling plant,BT-active,Yes,No,16,25,5.24,No,medium,"Given coords (49.3827,-121.4414) landed in downtown residential Hope, ~5km too far west. Address 66700 Othello Rd geocoded (Nominatim) to 49.38517,-121.38221, which satellite z1..."
4,US PL Allentown Factory,"Breinigsville, PA",Bottling plant,BT-active,Yes,Yes,60,300,32.0,Yes,medium,"Given coords (40.5333,-75.6333) landed ~4.7km too far south in residential Breinigsville (verified by z16 probe = single-family homes + farmland, no industrial building). Web se..."
5,US PL Cabazon Factory,"Cabazon, CA",Bottling plant,BT-active,Yes,No,58,130,38.0,No,medium,"The audit target was given as 'US PL Cabazon Factory' / Arrowhead Cabazon bottling plant at 14020 Elm St, Cabazon CA, coords 33.9164,-116.7873. Those coords + that street addres..."
6,US PL Hawkins Factory,"Hawkins, TX",Bottling plant,BT-active,Yes,No,55,160,60.5,No,high,"Supplied approx coords (32.5690,-95.2150) and the street-number geocode of '3265 (S) FM 2869' both landed in empty East Texas timberland ~10-20 km off (rural FM road number inte..."
7,US PL Hollis Factory,"Hollis, ME",Bottling plant,BT-active,Yes,No,70,220,62.0,No,high,"Supplied coords (43.5950,-70.6450) landed ~9.5km too far south, inside the Killick Pond Estates wooded residential subdivision (verified: forest + scattered houses at z14-z17, n..."
8,US PL Madison Factory,"Madison, WI",Bottling plant,BT-active,Yes,Yes,55,150,60.0,No,high,"Given coords (43.0558,-89.3268) and the reference-sites.ts label 'Madison WI' are WRONG. Web research established that BlueTriton / Primo Brands (formerly Nestle Waters North Am..."
9,US PL Mecosta Factory,"Stanwood, MI",Bottling plant,BT-active,Yes,Yes,58,120,32.0,No,high,"Supplied coords (43.5803,-85.2097) had a wrong longitude and landed in farmland ~21 km east of the plant. Google geocode of the street address (19275 8 Mile Rd, Stanwood MI 4934..."
10,US PL Poland Spring Factory,"Poland Spring, ME",Bottling plant,BT-active,Yes,Yes,55,120,42.0,No,high,"Given approximate coords (44.0558,-70.3475) landed in forest/golf-course terrain ~2.8km NNE of the plant; the spreadsheet address '375 Paramount Dr Raynham MA' is the Primo Bran..."
11,US PL Zephyrhills Factory,"Zephyrhills, FL",Bottling plant,BT-active,Yes,Yes,58,180,68.0,No,high,"Given coords (28.2461,-82.1811) landed in a residential grid ~2.7km NNW of the plant. Web search (lakerlutznews, tampabay) placed the Nestle/BlueTriton/Primo plant 'off 20th Str..."
12,US PL Allentown NPL Factory,"Breinigsville, PA",Bottling plant,BT-active,Yes,No,55,130,32.0,Yes,medium,"Given coords (40.5280,-75.6350) were ~5km too far south. Google geocode of 405 Nestle Way, Breinigsville PA 18031 returned 40.5732,-75.6315, which sits on a very large white-roo..."
13,US PL Dallas 2 Factory,"Dallas, TX",Bottling plant,BT-active,Yes,No,42,140,38.0,No,medium,"Given coords (32.6949,-96.9470) were ~1.6km NE in open land. Google geocode of 4718 Mountain Creek Pkwy, Dallas TX 75236 returned 32.6852,-96.9618, landing on a large industrial..."
14,US PL Kingfield Factory,"Kingfield, ME",Bottling plant,BT-active,Yes,No,28,90,22.0,No,medium,"Given coords (44.9580,-70.1530) were ~1.5km NNE. Google geocode of 120 Poland Spring Dr, Kingfield ME 04947 returned 44.9448,-70.1577, landing on a single large industrial build..."
15,US PL Denver Factory,"Denver, CO",Bottling plant,BT-active,Yes,Yes,60,40,15.9,No,medium,"ReadyRefresh distribution/delivery branch (multi-tenant cross-dock), not a standalone bottling line; metrics are whole-building."
16,US PL Greenwood Indiana,"Greenwood, IN",Bottling plant,BT-active,Yes,No,65,60,30.0,No,medium,Graham Rd site is a cross-dock DC; the named-water plant in Greenwood is the separate Long Ridge Rd site.
17,US PL McBee Factory,"McBee, SC",Bottling plant,BT-active,Yes,Yes,28,110,78.0,No,medium,"Confirmed Primo Brands / former Nestle Waters (BlueTriton) Deer Park bottling plant, 100 Nestle Way, McBee SC. Supplied reference coords (34.4700,-80.2586) landed on the town of..."
18,US PL Sacramento Factory,"Sacramento, CA",Bottling plant,BT-active,Yes,Yes,30,40,17.1,No,high,"Resolved to the BlueTriton / Nestle Waters North America (now Primo Brands) Sacramento bottling plant at 8670 Younger Creek Dr, Sacramento CA 95828 (APN 062-0140-013, Lots 21-22..."
19,US PL Pasadena Factory,"Pasadena, TX",Bottling plant,BT-active,Yes,No,45,40,33.0,No,high,"Given coords (29.5605,-95.1167) were ~17 km off, landing on apartment/retail blocks. ROOFTOP geocode of '2818 Pasadena Fwy, Pasadena TX 77506' returns 29.7106063,-95.1750066, wh..."
20,US PL High Springs Factory,"High Springs, FL",Bottling plant,BT-active,Yes,Yes,60,90,30.0,No,high,"Supplied coords (29.8283,-82.5967) landed in downtown High Springs (houses/small commercial, no plant). Google ROOFTOP geocode of '7100 NE County Rd 340, High Springs FL 32643'..."
21,CA DC Chilliwack Whse,"Chilliwack, BC",DC/Warehouse,BT-active,Yes,No,20,40,4.3,No,medium,"Given city-level coords (49.1579,-121.9515) were ~4.6km NE of the true site. Web research + the supplied lead resolved the facility to 6388 Unsworth Rd, Chilliwack BC V2R 5M3 (G..."
22,US DC NFI - Breinigsville,"Breinigsville, PA",DC/Warehouse,BT-active,Yes,Yes,90,150,58.0,No,high,"Given coords (40.5340,-75.6290) landed ~5 km SW in Breinigsville farmland/residential. Geocoded the Nestle Way industrial complex (ROOFTOP): 200 Nestle Way=40.5676,-75.6361 (NFI..."
23,US PL Framingham Factory,"Framingham, MA",Bottling plant,BT-inactive,Yes,Yes,14,60,9.5,No,high,"No coords were supplied (blank-flag list entry). Resolved via web search to 105 Pennsylvania Ave, Framingham MA 01701; Nominatim geocode landed at ~42.300,-71.479. Satellite pro..."
24,US PL Livermore Factory,"Livermore, CA",Bottling plant,BT-inactive,Yes,Yes,8,40,5.5,No,medium,Depot-scale ReadyRefresh/Arrowhead branch with light processing.
25,US PL Los Angeles Factory,"Los Angeles, CA",Bottling plant,BT-inactive,Yes,Yes,14,40,8.0,No,high,"No coords were supplied. Web research (PBS SoCal 'Lost LA', BBB/D&B business profiles) placed the plant at Washington Blvd & Compton Ave; the Primo/BlueTriton corporate address..."
26,US PL S Houston Factory,"South Houston, TX",Bottling plant,BT-inactive,Yes,Yes,24,30,14.0,No,high,"Given approximate coords (29.6650, -95.3850) landed ~2km east at a freeway interchange (solar field + residential), not an industrial site. Resolved the real plant via web searc..."
27,US PL Woodridge Factory,"Woodridge, IL",Bottling plant,BT-inactive,Yes,No,18,25,8.5,No,medium,"ReadyRefresh delivery branch in an open multi-tenant park, not a bottling line."
28,US PL Jersey City Factory,"Jersey City, NJ",Bottling plant,BT-inactive,No (closed/vacated),Yes,16,30,3.4,No,low,Closed/vacated (Yelp CLOSED Jun 2026); lot partly repurposed to 3rd-party container storage; building standing.
29,US PL Hot Springs Factory,"Hot Springs, AR",Bottling plant,CEO-added,Yes,No,22,50,17.5,No,medium,"Given coords (34.6332,-93.0672) landed in woods east of the plant. Web search + satellite resolved the EXISTING Mountain Valley Spring Water / BlueTriton (Primo Brands) bottling..."
30,US DC Hot Springs (WHSE),"Hot Springs, AR",DC/Warehouse,CEO-added,Yes,No,18,30,11.3,No,high,"Given coords (34.5037,-93.0552) landed in dense downtown Hot Springs / Central Ave retail fabric (z17 confirmed small commercial blocks, no DC). Web search resolved the Mountain..."
