,,,,,,,,,Connectivity,Shipment,Shifts per,Guards per,DCs per,,,,Staging Area,,Driveway,,Backup,Entry/Exit,,,,Fast Lane,Dock Doors,,,,Drop Area,,,,Ship/Rcv,Urban /,Potential,Multiple,,Remote,
Name,Type,Archetype,Archetype Name,,WMS,TMS,YMS,EBOL,Available,Volume,Day,Shift,Shift,Truck Gate?,Guard Shack?,Remote GS?,Pre-Gate,Post-Gate,Long (3+),Short (1-2 trucks),Sensitive?,Together,Separate,Entry Lanes,Exit Lanes,Opportunity?,0-10,10-25,25-50,50+,0-10,10-25,25-50,50+,Separate?,Rural,Connectivity Issue?,Facilities?,Scale,Drop Yard,
Home Depot FDC - Dallas TX,Flatbed Distribution Center,#9,Gate + No GS (remote check-in),,,,,,,,,,,YES,,YES,,YES,YES,,,YES,,,,YES,,,,YES,,,YES,,,Urban,,,,YES,"https://www.google.com/maps/@32.7415,-96.9755,400m/data=!3m1!1e3"
Home Depot FDC - Sparrows Point MD,Flatbed Distribution Center,#7,Gate + GS (not BU sens.) + fast lane opp,,,,,,,,,,,YES,YES,,YES,YES,YES,,,YES,,2,1,YES,,,,YES,,,,YES,,Urban,,,,YES,"https://www.google.com/maps/@39.22255,-76.4842,400m/data=!3m1!1e3"
Home Depot RDC - Dallas TX,Rapid Deployment Center,#10,Ship/Rcv Separate (Gate+GS),,,,,,,,,,,YES,YES,,YES,YES,YES,,,YES,,2,1,YES,,,,YES,,,,YES,YES,Urban,,,,YES,"https://www.google.com/maps/@32.63905,-96.851,400m/data=!3m1!1e3"
Home Depot RDC - Topeka KS,Rapid Deployment Center,#10,Ship/Rcv Separate (Gate+GS),,,,,,,,,,,YES,YES,,YES,YES,YES,,,YES,,2,1,YES,,,,YES,,,,YES,YES,Rural,,,,YES,"https://www.google.com/maps/@38.97299,-95.69715,400m/data=!3m1!1e3"
Home Depot RDC - Monroe OH,Rapid Deployment Center,#10,Ship/Rcv Separate (Gate+GS),,,,,,,,,,,YES,YES,,YES,YES,YES,,,YES,,2,1,YES,,,,YES,,,,YES,YES,Urban,,,,YES,"https://www.google.com/maps/@39.43460,-84.32130,400m/data=!3m1!1e3"
Home Depot RDC - Locust Grove GA,Rapid Deployment Center,#10,Ship/Rcv Separate (Gate+GS),,,,,,,,,,,YES,YES,,YES,YES,YES,,,YES,,2,1,YES,,,,YES,,YES,,,YES,Rural,,,,YES,"https://www.google.com/maps/@33.36300,-84.11900,400m/data=!3m1!1e3"
Home Depot RDC - Redlands CA,Rapid Deployment Center,#10,Ship/Rcv Separate (Gate+GS),,,,,,,,,,,YES,YES,,YES,YES,YES,,,YES,,2,1,YES,,,,YES,,,,YES,YES,Urban,,,,YES,"https://www.google.com/maps/@34.08820,-117.20440,400m/data=!3m1!1e3"
Home Depot RDC - Houston TX,Rapid Deployment Center,#10,Ship/Rcv Separate (Gate+GS),,,,,,,,,,,YES,YES,,YES,YES,YES,,,YES,,2,1,YES,,,,YES,,,,YES,YES,Urban,,,,YES,"https://www.google.com/maps/@29.94050,-95.55430,400m/data=!3m1!1e3"
Home Depot RDC - Breinigsville PA,Rapid Deployment Center,#3,No Gate / No GS,,,,,,,,,,,,,,,YES,YES,,,YES,,2,2,YES,,,,YES,,,,YES,YES,Rural,,,,YES,"https://www.google.com/maps/@40.551634,-75.627668,400m/data=!3m1!1e3"
