,,,,,,,,,Connectivity,Shipment,Shifts per,Guards per,DCs per,,,,Staging Area,,Driveway,,Backup,Entry/Exit,,,,Fast Lane,Dock Doors,,,,Drop Area,,,,Ship/Rcv,Urban /,Potential,Multiple,,Remote,
Name,Type,Archetype,Archetype Name,,WMS,TMS,YMS,EBOL,Available,Volume,Day,Shift,Shift,Truck Gate?,Guard Shack?,Remote GS?,Pre-Gate,Post-Gate,Long (3+),Short (1-2 trucks),Sensitive?,Together,Separate,Entry Lanes,Exit Lanes,Opportunity?,0-10,10-25,25-50,50+,0-10,10-25,25-50,50+,Separate?,Rural,Connectivity Issue?,Facilities?,Scale,Drop Yard,
Tyson Foods Springdale Complex - Springdale AR,Poultry Processing Plant,#6,Gate + GS (not BU sens.) + campus,,,,,,,,,,,YES,YES,,YES,YES,YES,,,YES,,1,1,YES,,,YES,,,,,YES,YES,Urban,,YES,,YES,"https://www.google.com/maps/@36.19038,-94.12540,400m/data=!3m1!1e3"
Tyson Fresh Meats Dakota City Beef Plant - Dakota City NE,Beef Processing Plant,#6,Gate + GS (not BU sens.) + campus,,,,,,,,,,,YES,YES,,YES,YES,YES,,,YES,,2,2,YES,,,,YES,,,,YES,YES,Rural,,YES,,YES,"https://www.google.com/maps/@42.42785,-96.41696,400m/data=!3m1!1e3"
Tyson Fresh Meats Amarillo Beef Plant - Amarillo TX,Beef Processing Plant,#6,Gate + GS (not BU sens.) + campus,,,,,,,,,,,YES,YES,,YES,YES,YES,,,YES,,1,1,YES,,,,YES,,,,YES,YES,Rural,,YES,YES,YES,"https://www.google.com/maps/@35.2593,-101.6488,400m/data=!3m1!1e3"
Tyson Fresh Meats Holcomb Beef Plant - Holcomb KS,Beef Processing Plant,#3,No Gate / No GS,,,,,,,,,,,,,,,YES,YES,,,YES,,,,YES,,,YES,,,,,YES,YES,Rural,,YES,YES,YES,"https://www.google.com/maps/@37.9986,-101.0256,400m/data=!3m1!1e3"
Tyson Fresh Meats Joslin Beef Plant - Joslin IL,Beef Processing Plant,#9,Gate + No GS (remote check-in),,,,,,,,,,,YES,,YES,YES,YES,YES,,YES,YES,,1,1,YES,,,YES,,,,,YES,YES,Rural,,YES,YES,YES,"https://www.google.com/maps/@41.5524,-90.2244,400m/data=!3m1!1e3"
Tyson Fresh Meats Storm Lake Pork Plant - Storm Lake IA,Pork Processing Plant,#3,No Gate / No GS,,,,,,,,,,,,,,,YES,YES,,YES,YES,,1,1,YES,,,YES,,,,,YES,YES,Rural,,YES,,YES,"https://www.google.com/maps/@42.639749,-95.187849,400m/data=!3m1!1e3"
Tyson Fresh Meats Waterloo Pork Plant - Waterloo IA,Pork Processing Plant,#6,Gate + GS (not BU sens.) + campus,,,,,,,,,,,YES,YES,,YES,YES,YES,,,YES,,1,1,YES,,,,YES,,,,YES,YES,Rural,,YES,,YES,"https://www.google.com/maps/@42.5093,-92.261,400m/data=!3m1!1e3"
Tyson Fresh Meats Columbus Junction Pork Plant - Columbus Junction IA,Pork Processing Plant,#3,No Gate / No GS,,,,,,,,,,,,,,,YES,YES,,,YES,,,,,,,YES,,,,,YES,,Rural,,YES,,YES,"https://www.google.com/maps/@41.29565,-91.35625,400m/data=!3m1!1e3"
Tyson Foods Sherman Poultry Plant - Sherman TX,Poultry Processing Plant,#4,Gate + GS (BU sens.),,,,,,,,,,,YES,YES,,YES,YES,YES,,YES,YES,,1,1,YES,,,YES,,,,,YES,YES,Rural,,,,YES,"https://www.google.com/maps/@33.5815,-96.6056,400m/data=!3m1!1e3"
