,,,,,,,,,Connectivity,Shipment,Shifts per,Guards per,DCs per,,,,Staging Area,,Driveway,,Backup,Entry/Exit,,,,Fast Lane,Dock Doors,,,,Drop Area,,,,Ship/Rcv,Urban /,Potential,Multiple,,Remote,
Name,Type,Archetype,Archetype Name,,WMS,TMS,YMS,EBOL,Available,Volume,Day,Shift,Shift,Truck Gate?,Guard Shack?,Remote GS?,Pre-Gate,Post-Gate,Long (3+),Short (1-2 trucks),Sensitive?,Together,Separate,Entry Lanes,Exit Lanes,Opportunity?,0-10,10-25,25-50,50+,0-10,10-25,25-50,50+,Separate?,Rural,Connectivity Issue?,Facilities?,Scale,Drop Yard,
"Walmart Regional DC 6094, Bentonville AR",General Merchandise Distribution Center (~1.25M sf),#6,Gate + GS (not BU sens.) + campus,,,,,,,,,,,YES,YES,,YES,YES,YES,,,YES,,2,2,YES,,,,YES,,,,YES,YES,Rural,,YES,,YES,"https://www.google.com/maps/@36.32050,-94.25820,400m/data=!3m1!1e3"
"Walmart General Merchandise DC 6016, New Braunfels TX",General Merchandise DC,#6,Gate + GS (not BU sens.) + campus,,,,,,,,,,,YES,YES,,YES,YES,YES,,,YES,,2,2,YES,,,,YES,,,,YES,YES,Rural,,YES,,YES,"https://www.google.com/maps/@29.7356,-98.0640,400m/data=!3m1!1e3"
"Walmart Perishable DC 3010, Wellford SC",Grocery/Perishable DC,#7,Gate + GS (not BU sens.) + fast lane opp,,,,,,,,,,,YES,YES,,,YES,YES,,,YES,,1,1,YES,,,,YES,,,,YES,,Rural,,,,YES,"https://www.google.com/maps/@34.97365,-82.10150,400m/data=!3m1!1e3"
"Walmart Perishable DC 3006, Lancaster TX","Grocery/Perishable DC (730k sf, refrigerated)",#6,Gate + GS (not BU sens.) + campus,,,,,,,,,,,YES,YES,,,YES,YES,,,YES,,2,2,YES,,,,YES,,,,YES,YES,Rural,,YES,,YES,"https://www.google.com/maps/@32.5835,-96.7115,400m/data=!3m1!1e3"
"Walmart Fulfillment Center, McCordsville IN",E-commerce/Fulfillment Center,#9,Gate + No GS (remote check-in),,,,,,,,,,,YES,,YES,,YES,YES,,,YES,,1,1,YES,,,,YES,,,,YES,,Rural,,,,YES,"https://www.google.com/maps/@39.85320,-85.90640,400m/data=!3m1!1e3"
"Walmart Fulfillment Center, Joliet IL",E-commerce/Fulfillment Center (1.1M sf next-gen FC),#9,Gate + No GS (remote check-in),,,,,,,,,,,YES,,YES,,YES,YES,,,YES,,2,2,YES,,,,YES,,,,YES,YES,Rural,,,,YES,"https://www.google.com/maps/@41.46055,-88.10000,400m/data=!3m1!1e3"
"Walmart Import DC 6088, Williamsburg VA","Import DC (large, port-fed)",#6,Gate + GS (not BU sens.) + campus,,,,,,,,,,,YES,YES,,,YES,YES,,,YES,,2,2,YES,,,,YES,,,,YES,YES,Rural,,YES,,YES,"https://www.google.com/maps/@37.20030,-76.59690,400m/data=!3m1!1e3"
"Walmart Import DC 6060, Eastvale CA",Import DC,#9,Gate + No GS (remote check-in),,,,,,,,,,,YES,,YES,,YES,YES,,,YES,,1,1,YES,,,,YES,,,,YES,YES,Urban,,,,YES,"https://www.google.com/maps/@34.010383,-117.557675,400m/data=!3m1!1e3"
"Walmart Regional DC 4047, Atlanta GA",General Merchandise Distribution Center,#3,No Gate / No GS,,,,,,,,,,,,,,,YES,YES,,,YES,,2,2,,,,,YES,,,,YES,YES,Urban,,,,YES,"https://www.google.com/maps/@33.7146,-84.6001,400m/data=!3m1!1e3"
