,,,,,,,,,Connectivity,Shipment,Shifts per,Guards per,DCs per,,,,Staging Area,,Driveway,,Backup,Entry/Exit,,,,Fast Lane,Dock Doors,,,,Drop Area,,,,Ship/Rcv,Urban /,Potential,Multiple,,Remote,
Name,Type,Archetype,Archetype Name,,WMS,TMS,YMS,EBOL,Available,Volume,Day,Shift,Shift,Truck Gate?,Guard Shack?,Remote GS?,Pre-Gate,Post-Gate,Long (3+),Short (1-2 trucks),Sensitive?,Together,Separate,Entry Lanes,Exit Lanes,Opportunity?,0-10,10-25,25-50,50+,0-10,10-25,25-50,50+,Separate?,Rural,Connectivity Issue?,Facilities?,Scale,Drop Yard,
Kraft Heinz - Aurora,Cold Storage Facility,#1,Gate + GS (not BU sens.),,,,,,,,3,,,YES,YES,,,YES,YES,,,YES,,1,1,,,,YES,,,,,YES,,Urban,,,,,"https://www.google.com/maps/place/KRAFT+FOODS/@41.7824033,-88.3733531,414m/data=!3m1!1e3!4m6!3m5!1s0x880ee5b1ef1d9803:0xd2f04e5b0f18b300!8m2!3d41.7831644!4d-88.3732467!16s%2Fg%2F11bc7qn202?entry=ttu&g_ep=EgoyMDI1MDIxNy4wIKXMDSoASAFQAw%3D%3D"
Kraft Heinz - Muscatine ,Food Products Supplier,#2,Gate + GS (not BU sens.)+separate,,,,,,,,3,,,YES,YES,,,YES,YES,,,,YES,1,1,,,YES,,,,,,YES,,Urban,,,,,"https://www.google.com/maps/@41.4372813,-91.0430826,581m/data=!3m1!1e3?entry=ttu&g_ep=EgoyMDI1MDIxMi4wIKXMDSoASAFQAw%3D%3D"
Kraft Heinz - Holland,Food Manufacturer,#3,No Gate / No GS,,,,,,,,3,,,NO,NO,,,YES,,YES,,YES,,1,1,,,YES,,,,,YES,,,Urban,,,,,"https://www.google.com/maps/place/Kraft+Heinz-Holland/@42.7833464,-86.1282199,310m/data=!3m1!1e3!4m6!3m5!1s0x8819f2dc6eece037:0xbd584bc3a70c033e!8m2!3d42.7835562!4d-86.128213!16s%2Fg%2F1tgjlxdy?entry=ttu&g_ep=EgoyMDI1MDIxMi4wIKXMDSoASAFQAw%3D%3D"
Kraft Foods - Jacksonville,Warehouse,#4,Gate + GS (BU sens.),,,,,,,,3,,,YES,YES,,,YES,,YES,YES,YES,,1,1,,,,YES,,NONE,,,,,Rural,YES,,,,"https://www.google.com/maps/place/Kraft+Foods/@30.3846241,-81.789257,3467m/data=!3m1!1e3!4m10!1m2!2m1!1sKraft+Heinz-jacksonville!3m6!1s0x88e5bd7c18d8b511:0x3064b3893d98ea48!8m2!3d30.3789402!4d-81.7859206!15sChhLcmFmdCBIZWluei1qYWNrc29udmlsbGUiA4gBAVoaIhhrcmFmdCBoZWlueiBqYWNrc29udmlsbGWSAQl3YXJlaG91c2WaASNDaFpEU1VoTk1HOW5TMFZKUTBGblNVUktha3B1ZWxSQkVBReABAPoBBQjKARAi!16s%2Fg%2F11t10v854r?entry=ttu&g_ep=EgoyMDI1MDIxMi4wIKXMDSoASAFQAw%3D%3D"
Kraft Foods - Jacksonville - Portion Control,Packaging Supply Store,#3,No Gate / No GS,,,,,,,,1,,,NO,NO,,,YES,,YES,,YES,,1,1,,,,YES,,NONE,,,,,Rural,YES,,,,"https://www.google.com/maps/place/Kraft+Heinz-Heinz+Portion+Control/@30.3826522,-81.7738688,591m/data=!3m1!1e3!4m10!1m2!2m1!1sKraft+Heinz-jacksonville!3m6!1s0x88e5bbf4f4a875b9:0x8855923d1760a705!8m2!3d30.3813388!4d-81.774636!15sChhLcmFmdCBIZWluei1qYWNrc29udmlsbGUiA4gBAVoaIhhrcmFmdCBoZWlueiBqYWNrc29udmlsbGWSARZwYWNrYWdpbmdfc3VwcGx5X3N0b3JlmgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVVIyTUMxbFNVMUJFQUXgAQD6AQQIABAr!16s%2Fg%2F1tm1r8j8?entry=ttu&g_ep=EgoyMDI1MDIxMi4wIKXMDSoASAFQAw%3D%3D"
Kraft Heinz - Davenport,Food Proccessing Company,#5,Gate + GS (not BU sens.) + multi-step,,,,,,,,2,,,YES,YES,,,YES,YES,,,YES,,1,1,,,YES,,,,YES,,,,Rural,YES,,,,"https://www.google.com/maps/place/Kraft+Heinz-Davenport/@41.6154482,-90.6125213,926m/data=!3m1!1e3!4m6!3m5!1s0x87e3b5475ed49ee9:0x6f12ed270206009d!8m2!3d41.6162935!4d-90.6104996!16s%2Fg%2F11fx8c74jz?entry=ttu&g_ep=EgoyMDI1MDIxMi4wIKXMDSoASAFQAw%3D%3D"
Kraft Heinz - Winchester,Food Proccessing Company,#3,No Gate / No GS,,,,,,,,3,,,NO,NO,,,YES,YES,,,YES,,1,1,,,YES,,,,,YES,,,Urban,,,,,"https://www.google.com/maps/place/Kraft+Heinz-Winchester/@39.2076604,-78.147096,939m/data=!3m1!1e3!4m6!3m5!1s0x89b5efd71a1feb5f:0x89dc6bd73b1b15a8!8m2!3d39.2074209!4d-78.1471792!16s%2Fg%2F1tjbt15p?entry=ttu&g_ep=EgoyMDI1MDIxMi4wIKXMDSoASAFQAw%3D%3D"
Kraft Heinz - Massillon,Manufacturer,#6,Gate + GS (not BU sens.) + campus,,,,,,,,3,,,YES,YES,,,YES,YES,,,YES,,1,1,,,,,YES,,,,YES,,Urban,,YES,,,"https://www.google.com/maps/place/Kraft+Heinz-Massillon/@40.7812406,-81.5455023,2751m/data=!3m1!1e3!4m6!3m5!1s0x883727a2c0b1f11d:0x7a3f7fa14f38e216!8m2!3d40.7789509!4d-81.5408231!16s%2Fg%2F1tgpbydz?entry=ttu&g_ep=EgoyMDI1MDIxMi4wIKXMDSoASAFQAw%3D%3D"
Kraft Heinz - Garland,Manufacturer,#7,Gate + GS (not BU sens.) + fast lane opp,,,,,,,,3,,,YES,YES,,,YES,YES,,,YES,,3,1,YES,,,YES,,,,,YES,,Rural,YES,,,,"https://www.google.com/maps/place/Kraft+Heinz-Garland/@32.9082635,-96.6622296,954m/data=!3m1!1e3!4m6!3m5!1s0x864c1dfef2bfda05:0xaf8d372cdf66d2af!8m2!3d32.9079075!4d-96.6636842!16s%2Fg%2F1tk_k35t?entry=ttu&g_ep=EgoyMDI1MDIxMi4wIKXMDSoASAFQAw%3D%3D"
